year,BUYER_COUNTY,BUYER_STATE,strength
2006,ALCONA,MI,4622.621974426
2006,ALGER,MI,4985.7433398739995
2006,ALLEGAN,MI,61206.0045512879
2006,ALPENA,MI,39753.17080676475
2006,ANTRIM,MI,23987.916999114
2006,ARENAC,MI,8497.354619025
2006,BARAGA,MI,7115.494247244
2006,BARRY,MI,21161.714721449498
2006,BAY,MI,77240.3365006235
2006,BENZIE,MI,12498.698428235999
2006,BERRIEN,MI,146662.20087037035
2006,BRANCH,MI,23992.60216489525
2006,CALHOUN,MI,141123.4724985961
2006,CASS,MI,15421.3124462365
2006,CHARLEVOIX,MI,28865.250269239
2006,CHEBOYGAN,MI,35800.602515156
2006,CHIPPEWA,MI,30321.9196829725
2006,CLARE,MI,32901.339669962
2006,CLINTON,MI,46149.759252220996
2006,CRAWFORD,MI,33376.8584804035
2006,DELTA,MI,25957.803407060248
2006,DICKINSON,MI,31033.196428491
2006,EATON,MI,55236.3764185045
2006,EMMET,MI,70891.392512085
2006,GENESEE,MI,298165.9144786656
2006,GLADWIN,MI,20635.654304476
2006,GOGEBIC,MI,10074.073879775
2006,GRAND TRAVERSE,MI,159854.95988931376
2006,GRATIOT,MI,17971.5844044526
2006,HILLSDALE,MI,19416.42101226225
2006,HOUGHTON,MI,17489.4078225665
2006,HURON,MI,21226.049038021498
2006,INGHAM,MI,1664436.4787461006
2006,IONIA,MI,24399.0355067226
2006,IOSCO,MI,30979.0320824885
2006,IRON,MI,11252.572782691
2006,ISABELLA,MI,39963.709148526
2006,JACKSON,MI,133500.0005605
2006,KALAMAZOO,MI,229641.7042839666
2006,KALKASKA,MI,20913.622153092
2006,KENT,MI,1449417.1946844782
2006,LAKE,MI,3861.134814516
2006,LAPEER,MI,33741.351484330145
2006,LEELANAU,MI,5747.626510153999
2006,LENAWEE,MI,55273.03523611175
2006,LIVINGSTON,MI,81073.3699958915
2006,LUCE,MI,7171.564215818
2006,MACKINAC,MI,8955.7394424
2006,MACOMB,MI,630386.7347812372
2006,MANISTEE,MI,30747.85684164
2006,MARQUETTE,MI,61495.814757062
2006,MASON,MI,26270.843373065
2006,MECOSTA,MI,26840.1600869423
2006,MENOMINEE,MI,7166.9039593657
2006,MIDLAND,MI,54480.219029891
2006,MISSAUKEE,MI,6453.948580695
2006,MONROE,MI,108076.6346303422
2006,MONTCALM,MI,41254.581243058296
2006,MONTMORENCY,MI,12041.18183494995
2006,MUSKEGON,MI,232505.3223535942
2006,NEWAYGO,MI,45421.981720256
2006,OAKLAND,MI,1657686.3349395415
2006,OCEANA,MI,21418.180946728
2006,OGEMAW,MI,68549.373496762
2006,ONTONAGON,MI,3445.422736688
2006,OSCEOLA,MI,11702.0293704735
2006,OSCODA,MI,7158.0295666835
2006,OTSEGO,MI,38426.35615130915
2006,OTTAWA,MI,104104.6591705071
2006,PRESQUE ISLE,MI,11345.529847514
2006,ROSCOMMON,MI,31366.208475208998
2006,SAGINAW,MI,154553.3068145095
2006,SAINT CLAIR,MI,90076.37261982
2006,SAINT JOSEPH,MI,43985.7426166106
2006,SANILAC,MI,13174.1114955005
2006,SCHOOLCRAFT,MI,9920.653070873
2006,SHIAWASSEE,MI,66093.0130992025
2006,TUSCOLA,MI,20492.9652917035
2006,VAN BUREN,MI,70344.42306676054
2006,WASHTENAW,MI,277067.8081086862
2006,WAYNE,MI,3783729.6155222375
2006,WEXFORD,MI,57365.515114047
2007,ALCONA,MI,5232.6430576315
2007,ALGER,MI,5656.329875506
2007,ALLEGAN,MI,798756.7220282225
2007,ALPENA,MI,39419.48141112945
2007,ANTRIM,MI,25367.31061996
2007,ARENAC,MI,8767.7311126025
2007,BARAGA,MI,8108.404228048
2007,BARRY,MI,23801.4541037665
2007,BAY,MI,87177.807081986
2007,BENZIE,MI,14313.733269813
2007,BERRIEN,MI,152280.8999381822
2007,BRANCH,MI,25084.625420158998
2007,CALHOUN,MI,159899.1396497746
2007,CASS,MI,15054.74643992
2007,CHARLEVOIX,MI,29056.542434586998
2007,CHEBOYGAN,MI,39680.8910945655
2007,CHIPPEWA,MI,33306.76730932675
2007,CLARE,MI,33847.4509983585
2007,CLINTON,MI,51832.10384218175
2007,CRAWFORD,MI,37284.5476829152
2007,DELTA,MI,30440.780683513
2007,DICKINSON,MI,33023.617634133996
2007,EATON,MI,58090.463492863346
2007,EMMET,MI,66059.139677738
2007,GENESEE,MI,339175.6731099323
2007,GLADWIN,MI,20628.572645796
2007,GOGEBIC,MI,13450.756466959
2007,GRAND TRAVERSE,MI,177543.66653052333
2007,GRATIOT,MI,21333.64743561175
2007,HILLSDALE,MI,20402.9979159844
2007,HOUGHTON,MI,19723.2977649655
2007,HURON,MI,23746.535927255998
2007,INGHAM,MI,2911910.06037858
2007,IONIA,MI,24617.6883669386
2007,IOSCO,MI,29627.769830773497
2007,IRON,MI,9776.158422385
2007,ISABELLA,MI,43200.1135885445
2007,JACKSON,MI,146578.82625486175
2007,KALAMAZOO,MI,276894.0998248486
2007,KALKASKA,MI,26057.6305379985
2007,KENT,MI,5380655.432215866
2007,LAKE,MI,4324.87217668
2007,LAPEER,MI,40603.63576554675
2007,LEELANAU,MI,7304.63811945845
2007,LENAWEE,MI,61486.485156530245
2007,LIVINGSTON,MI,98164.6799164306
2007,LUCE,MI,8001.224123939
2007,MACKINAC,MI,8440.5889388794
2007,MACOMB,MI,753623.994591943
2007,MANISTEE,MI,31905.609157403
