year,BUYER_COUNTY,BUYER_STATE,strength
2006,AITKIN,MN,10825.126285008
2006,ANOKA,MN,271495.6373588283
2006,BECKER,MN,11193.625788252499
2006,BELTRAMI,MN,27964.61104176775
2006,BENTON,MN,14857.12229274
2006,BIG STONE,MN,3082.462927833
2006,BLUE EARTH,MN,20494.53865869725
2006,BROWN,MN,7262.2953819634995
2006,CARLTON,MN,21337.089977034248
2006,CARVER,MN,19682.78605568325
2006,CASS,MN,8739.317294961249
2006,CHIPPEWA,MN,4094.6731755719998
2006,CHISAGO,MN,14049.116036023499
2006,CLAY,MN,16432.90686401835
2006,CLEARWATER,MN,3852.0110226145
2006,COOK,MN,2641.33609849
2006,COTTONWOOD,MN,3280.497234776
2006,CROW WING,MN,26350.6266721977
2006,DAKOTA,MN,128977.85170412675
2006,DODGE,MN,1252.940397905
2006,DOUGLAS,MN,15911.463193907999
2006,FARIBAULT,MN,2743.751421733
2006,FILLMORE,MN,3778.3836172819997
2006,FREEBORN,MN,10257.302640198
2006,GOODHUE,MN,14078.180807966999
2006,GRANT,MN,2524.339304511
2006,HENNEPIN,MN,23345571.206625663
2006,HOUSTON,MN,2554.176286676
2006,HUBBARD,MN,10420.9658768275
2006,ISANTI,MN,21451.908519611
2006,ITASCA,MN,26032.7563288095
2006,JACKSON,MN,1132.272329248
2006,KANABEC,MN,7306.812051265
2006,KANDIYOHI,MN,10940.1908214425
2006,KITTSON,MN,924.378108173
2006,KOOCHICHING,MN,10024.3862946365
2006,LAC QUI PARLE,MN,2218.7184876025
2006,LAKE,MN,3688.6844187545
2006,LAKE OF THE WOODS,MN,3708.005344759
2006,LE SUEUR,MN,2987.394244868
2006,LINCOLN,MN,1687.9070924205
2006,LYON,MN,8794.608066931
2006,MAHNOMEN,MN,1899.83577322425
2006,MARSHALL,MN,769.564056304
2006,MARTIN,MN,6997.7517823319995
2006,MCLEOD,MN,14226.676640069
2006,MEEKER,MN,5182.867200843
2006,MILLE LACS,MN,21876.5614511445
2006,MORRISON,MN,12340.88235962175
2006,MOWER,MN,11979.894856642499
2006,MURRAY,MN,2131.5542930164997
2006,NICOLLET,MN,3139.8165640439997
2006,NOBLES,MN,4084.7715657905
2006,NORMAN,MN,3109.86355948
2006,OLMSTED,MN,73033.6887968986
2006,OTTER TAIL,MN,24060.319894074
2006,PENNINGTON,MN,9578.80602430675
2006,PINE,MN,8575.6595313605
2006,PIPESTONE,MN,4137.67153428
2006,POLK,MN,12844.992997809999
2006,POPE,MN,4941.319225078
2006,RAMSEY,MN,1126743.3378775928
2006,RED LAKE,MN,701.90763565025
2006,REDWOOD,MN,3900.834675905
2006,RENVILLE,MN,3004.644576674
2006,RICE,MN,17586.45388608965
2006,ROCK,MN,2173.14829755
2006,ROSEAU,MN,7408.3757379425
2006,SAINT LOUIS,MN,146694.6460041125
2006,SCOTT,MN,26946.4338604615
2006,SHERBURNE,MN,14935.0145692505
2006,SIBLEY,MN,3103.9593381475
2006,STEARNS,MN,73199.5270796635
2006,STEELE,MN,7825.85677093015
2006,STEVENS,MN,2146.6256252625
2006,SWIFT,MN,2482.981457818
2006,TODD,MN,10103.04599997525
2006,TRAVERSE,MN,1832.854764469
2006,WABASHA,MN,5309.228231015
2006,WADENA,MN,8130.79433338075
2006,WASECA,MN,5457.495689927
2006,WASHINGTON,MN,1837209.4068654617
2006,WATONWAN,MN,2668.277972777
2006,WILKIN,MN,3515.4139269102498
2006,WINONA,MN,21298.06845935
2006,WRIGHT,MN,36231.0019684665
2006,YELLOW MEDICINE,MN,3710.12680736
2007,AITKIN,MN,10840.5788856125
2007,ANOKA,MN,165212.0422134705
2007,BECKER,MN,12056.71440620275
2007,BELTRAMI,MN,33507.51080316725
2007,BENTON,MN,17798.1906234605
2007,BIG STONE,MN,3930.072262143
2007,BLUE EARTH,MN,23719.21002001725
2007,BROWN,MN,8691.81343489375
2007,CARLTON,MN,27050.68389808975
2007,CARVER,MN,21518.93394734325
2007,CASS,MN,9914.1370058875
2007,CHIPPEWA,MN,4366.69935226575
2007,CHISAGO,MN,17377.496288440998
2007,CLAY,MN,20525.70326724825
2007,CLEARWATER,MN,3872.440621409
2007,COOK,MN,3034.891891494
2007,COTTONWOOD,MN,4224.178933874
2007,CROW WING,MN,29693.6743217265
2007,DAKOTA,MN,160117.897294828
2007,DODGE,MN,1698.232972346
2007,DOUGLAS,MN,19533.089769522998
2007,FARIBAULT,MN,2467.809969728
2007,FILLMORE,MN,4288.220652685
2007,FREEBORN,MN,10803.771667207
2007,GOODHUE,MN,16505.096289305
2007,GRANT,MN,2188.777811414
2007,HENNEPIN,MN,1932332.6961050269
2007,HOUSTON,MN,3565.2632986222497
2007,HUBBARD,MN,10884.632533321499
2007,ISANTI,MN,22256.8525429875
2007,ITASCA,MN,28425.74274985
2007,JACKSON,MN,1028.953806322
2007,KANABEC,MN,7649.610869005
2007,KANDIYOHI,MN,11341.1855828595
2007,KITTSON,MN,928.80193215
2007,KOOCHICHING,MN,9024.999762297
2007,LAC QUI PARLE,MN,2880.9515392125
2007,LAKE,MN,4134.024611488
2007,LAKE OF THE WOODS,MN,3891.498858312
2007,LE SUEUR,MN,3927.3624700315
2007,LINCOLN,MN,1685.2165305649999
2007,LYON,MN,9036.77564329
2007,MAHNOMEN,MN,2634.887987094
2007,MARSHALL,MN,949.4020184469999
2007,MARTIN,MN,8962.776092527
2007,MCLEOD,MN,16052.842985096999
2007,MEEKER,MN,6566.817092978
2007,MILLE LACS,MN,22574.8169152164
2007,MORRISON,MN,13173.22530191025
2007,MOWER,MN,15565.4637414175
2007,MURRAY,MN,1938.1681771439999
2007,NICOLLET,MN,3025.5128812145
2007,NOBLES,MN,5077.9130286521495
2007,NORMAN,MN,3828.38262827425
2007,OLMSTED,MN,83279.4682365465
2007,OTTER TAIL,MN,26990.616459357498
2007,PENNINGTON,MN,9445.152235124
2007,PINE,MN,10853.781987025
2007,PIPESTONE,MN,5112.206660938999
2007,POLK,MN,13895.551923538249
2007,POPE,MN,5476.7151375045
2007,RAMSEY,MN,1092987.1946165538
2007,RED LAKE,MN,503.986077149
2007,REDWOOD,MN,3852.5333596299997
2007,RENVILLE,MN,3229.280732957
2007,RICE,MN,20552.229352448998
2007,ROCK,MN,2779.398418213
2007,ROSEAU,MN,7791.528317863
2007,SAINT LOUIS,MN,157472.07064804874
2007,SCOTT,MN,30493.13176551725
2007,SHERBURNE,MN,18567.91208661375
2007,SIBLEY,MN,2755.424954568
2007,STEARNS,MN,83263.73106985325
2007,STEELE,MN,8540.4664842075
2007,STEVENS,MN,2530.022043555
2007,SWIFT,MN,3048.359351753
2007,TODD,MN,10697.5486619945
2007,TRAVERSE,MN,2563.60956583725
2007,WABASHA,MN,6183.5191570925
2007,WADENA,MN,8987.46997103725
2007,WASECA,MN,6005.7535070795
2007,WASHINGTON,MN,118947.9979818967
2007,WATONWAN,MN,3084.339359641
2007,WILKIN,MN,4623.3831021549995
2007,WINONA,MN,22450.4398481605
2007,WRIGHT,MN,39367.054019249495
2007,YELLOW MEDICINE,MN,3316.9950239287
2008,AITKIN,MN,11227.936984035
2008,ANOKA,MN,233883.7924872649
2008,BECKER,MN,14472.356942310249
2008,BELTRAMI,MN,46783.94762697175
2008,BENTON,MN,17324.016741244
2008,BIG STONE,MN,4878.900488149
2008,BLUE EARTH,MN,32400.339081723
2008,BROWN,MN,10763.687088133749
2008,CARLTON,MN,29993.877347884998
2008,CARVER,MN,25893.116390716
2008,CASS,MN,9957.0236985175
2008,CHIPPEWA,MN,4425.84504178475
2008,CHISAGO,MN,18020.0432408215
2008,CLAY,MN,20948.83432627875
2008,CLEARWATER,MN,5373.6791842044995
2008,COOK,MN,3558.494387113
2008,COTTONWOOD,MN,4437.539509528499
2008,CROW WING,MN,33312.26617575125
2008,DAKOTA,MN,2875116.2443189006
2008,DODGE,MN,1379.195998916
