year,BUYER_COUNTY,BUYER_STATE,strength
2006,ADAIR,MO,21587.77165046525
2006,ANDREW,MO,6147.8549067399
2006,ATCHISON,MO,1615.6796618095
2006,AUDRAIN,MO,10209.041106382
2006,BARRY,MO,26655.763407453
2006,BARTON,MO,6651.00753687595
2006,BATES,MO,8417.918162169999
2006,BENTON,MO,14554.87003211025
2006,BOLLINGER,MO,4344.80802590675
2006,BOONE,MO,134743.94307667436
2006,BUCHANAN,MO,129570.3968034945
2006,BUTLER,MO,60168.863976829
2006,CALDWELL,MO,819.98586589
2006,CALLAWAY,MO,11736.1446132325
2006,CAMDEN,MO,27220.80141293675
2006,CAPE GIRARDEAU,MO,834251.7991324003
2006,CARROLL,MO,4700.32666843825
2006,CARTER,MO,2333.036285648
2006,CASS,MO,41789.35535782995
2006,CEDAR,MO,10495.627436055
2006,CHARITON,MO,1496.3179337039999
2006,CHRISTIAN,MO,61481.11889293685
2006,CLARK,MO,2496.491513241
2006,CLAY,MO,124272.79846674715
2006,CLINTON,MO,12287.621220154
2006,COLE,MO,55860.70720759825
2006,COOPER,MO,5277.0578094699995
2006,CRAWFORD,MO,11769.272604626749
2006,DADE,MO,6762.044329105
2006,DALLAS,MO,8487.800818487
2006,DAVIESS,MO,926.617828556
2006,DEKALB,MO,1629.5694933529999
2006,DENT,MO,11791.613415163749
2006,DOUGLAS,MO,5110.239562285999
2006,DUNKLIN,MO,22880.7990435085
2006,FRANKLIN,MO,59134.52276322625
2006,GASCONADE,MO,6947.397685112
2006,GENTRY,MO,2144.15082167475
2006,GREENE,MO,1311044.7803345246
2006,GRUNDY,MO,7605.2461599729995
2006,HARRISON,MO,5080.22055244
2006,HENRY,MO,24171.61924616725
2006,HICKORY,MO,4024.0345958479998
2006,HOLT,MO,1689.388692255
2006,HOWARD,MO,1404.710629559
2006,HOWELL,MO,53888.66299237675
2006,IRON,MO,4862.11462866925
2006,JACKSON,MO,1650749.6504521577
2006,JASPER,MO,81146.584761608
2006,JEFFERSON,MO,101397.923485608
2006,JOHNSON,MO,15119.7002608917
2006,KNOX,MO,2.63082385
2006,LACLEDE,MO,20931.580885175248
2006,LAFAYETTE,MO,11132.21291045015
2006,LAWRENCE,MO,39627.654256035
2006,LEWIS,MO,2191.500866417
2006,LINCOLN,MO,18282.720192052
2006,LINN,MO,7546.596997712
2006,LIVINGSTON,MO,19159.964868357998
2006,MACON,MO,7378.66066486
2006,MADISON,MO,5967.523129747
2006,MARIES,MO,3942.9317796769997
2006,MARION,MO,18929.03792455695
2006,MCDONALD,MO,9674.41544178345
2006,MERCER,MO,1828.293715372
2006,MILLER,MO,10523.513636765
2006,MISSISSIPPI,MO,7619.28676027075
2006,MONITEAU,MO,4502.60894575
2006,MONROE,MO,2204.544527093
2006,MONTGOMERY,MO,5146.729119236
2006,MORGAN,MO,10942.674328808
2006,NEW MADRID,MO,5066.8994032445
2006,NEWTON,MO,15685.39632999485
2006,NODAWAY,MO,7839.598258178799
2006,OREGON,MO,5075.4924808897495
2006,OSAGE,MO,1659.0782706657499
2006,OZARK,MO,6402.5473962175
2006,PEMISCOT,MO,10496.3681208885
2006,PERRY,MO,5679.988688417
2006,PETTIS,MO,15220.29345872575
2006,PHELPS,MO,51947.25581010325
2006,PIKE,MO,15761.375809957899
2006,PLATTE,MO,1347683.2047447513
2006,POLK,MO,28288.692718909
2006,PULASKI,MO,42175.3998482334
2006,PUTNAM,MO,1435.8171746364999
2006,RALLS,MO,6.285814774
2006,RANDOLPH,MO,9418.24440522865
2006,RAY,MO,9637.114886628
2006,REYNOLDS,MO,8582.017700284
2006,RIPLEY,MO,14660.0549316
2006,SAINT CHARLES,MO,2085201.3871626134
2006,SAINT CLAIR,MO,3232.669820649
2006,SAINT FRANCOIS,MO,88515.8267151505
2006,SAINT LOUIS,MO,35207415.410782054
2006,SAINT LOUIS CITY,MO,330989433.53240436
2006,SAINTE GENEVIEVE,MO,5413.3809442555
2006,SALINE,MO,9518.68546911825
2006,SCHUYLER,MO,0.07161526
2006,SCOTLAND,MO,2405.643339669
2006,SCOTT,MO,34320.01583555075
2006,SHANNON,MO,1637.58516809125
2006,SHELBY,MO,2411.44057543
2006,STODDARD,MO,22831.0747325285
2006,STONE,MO,22699.994968021998
2006,SULLIVAN,MO,3091.299247604
2006,TANEY,MO,44524.1313097725
2006,TEXAS,MO,13446.7625735855
2006,VERNON,MO,12365.1495763039
2006,WARREN,MO,8500.53073934
