year,BUYER_COUNTY,BUYER_STATE,strength
2006,NORTHERN MARIANA ISLANDS,MP,34057093.380333185
2007,NORTHERN MARIANA ISLANDS,MP,3499.4191105247
2008,NORTHERN MARIANA ISLANDS,MP,4416.1299500115
2009,NORTHERN MARIANA ISLANDS,MP,4926.2968796
2010,NORTHERN MARIANA ISLANDS,MP,5167.4133874
2011,NORTHERN MARIANA ISLANDS,MP,4863.813030114
2012,NORTHERN MARIANA ISLANDS,MP,4305.954035222
2013,NORTHERN MARIANA ISLANDS,MP,5173.685517242
2014,NORTHERN MARIANA ISLANDS,MP,5811.6600382332
2015,SAIPAN,MP,4494.752951349999
2016,SAIPAN,MP,3462.5954407
2017,SAIPAN,MP,2863.9977117999997
2018,SAIPAN,MP,3161.3479890999997
2019,SAIPAN,MP,2391.2479387999997
