year,BUYER_COUNTY,BUYER_STATE,strength
2006,ALAMANCE,NC,86644.66330581724
2006,ALEXANDER,NC,25224.561497393
2006,ALLEGHANY,NC,6185.0878549535
2006,ANSON,NC,8006.8759297609995
2006,ASHE,NC,15400.503674536
2006,AVERY,NC,16742.7564832725
2006,BEAUFORT,NC,34346.4215221215
2006,BERTIE,NC,5271.950088333
2006,BLADEN,NC,25892.15021627455
2006,BRUNSWICK,NC,103133.15513845124
2006,BUNCOMBE,NC,408996.4210741076
2006,BURKE,NC,90764.2052273285
2006,CABARRUS,NC,262992.53370187426
2006,CALDWELL,NC,69442.8700884235
2006,CARTERET,NC,79272.79729781275
2006,CASWELL,NC,6491.7898034984
2006,CATAWBA,NC,170711.80446378244
2006,CHATHAM,NC,19541.939367809
2006,CHEROKEE,NC,52610.01363238575
2006,CHOWAN,NC,5524.556677317
2006,CLAY,NC,10007.694708974
2006,CLEVELAND,NC,88923.67538216394
2006,COLUMBUS,NC,89341.544147527
2006,CRAVEN,NC,104900.944844458
2006,CUMBERLAND,NC,220176.9820464025
2006,CURRITUCK,NC,7095.97803202425
2006,DARE,NC,35315.100416176996
2006,DAVIDSON,NC,91341.77230202549
2006,DAVIE,NC,32425.8769818059
2006,DUPLIN,NC,21696.22963487225
2006,DURHAM,NC,1625591.0776451125
2006,EDGECOMBE,NC,19663.077687105
2006,FORSYTH,NC,295848.4828306532
2006,FRANKLIN,NC,27000.370185615
2006,GASTON,NC,214860.99122347898
2006,GATES,NC,2759.757373976
2006,GRAHAM,NC,13194.3285525588
2006,GRANVILLE,NC,49056.5221544395
2006,GREENE,NC,4741.827041887
2006,GUILFORD,NC,33749973.66150878
2006,HALIFAX,NC,30122.23945809265
2006,HARNETT,NC,50181.3703781787
2006,HAYWOOD,NC,77181.79766965644
2006,HENDERSON,NC,122990.6502882915
2006,HERTFORD,NC,17746.310520460498
2006,HOKE,NC,12356.2585570475
2006,IREDELL,NC,206367.2823776401
2006,JACKSON,NC,33307.60280360475
2006,JOHNSTON,NC,68799.3153878817
2006,JONES,NC,3113.720227065
2006,LEE,NC,66789.7790648045
2006,LENOIR,NC,73600.09916808674
2006,LINCOLN,NC,56644.9864534655
2006,MACON,NC,64230.51699066775
2006,MADISON,NC,22816.551068353
2006,MARTIN,NC,15821.607318532
2006,MCDOWELL,NC,53213.67941597325
2006,MECKLENBURG,NC,3285595.8883257317
2006,MITCHELL,NC,22116.049209375
2006,MONTGOMERY,NC,18904.82564630075
2006,MOORE,NC,81729.09440458275
2006,NASH,NC,3168894.7656512246
2006,NEW HANOVER,NC,297531.6428084903
2006,NORTHAMPTON,NC,2458.023129023
2006,ONSLOW,NC,94842.28220809299
2006,ORANGE,NC,71559.9988690145
2006,PAMLICO,NC,6344.0686650345
2006,PASQUOTANK,NC,24318.3505393115
2006,PENDER,NC,18402.3708714535
2006,PERQUIMANS,NC,4937.414657754
2006,PERSON,NC,34419.16095673675
2006,PITT,NC,884888.8421041315
2006,POLK,NC,17736.8087340905
2006,RANDOLPH,NC,54463.29484709975
2006,RICHMOND,NC,67274.98376454375
2006,ROBESON,NC,94107.5774342135
2006,ROCKINGHAM,NC,97316.25152238926
2006,ROWAN,NC,173062.38182743636
2006,RUTHERFORD,NC,64623.724045123745
2006,SAMPSON,NC,30983.84320356285
2006,SCOTLAND,NC,49879.6287187015
2006,STANLY,NC,41823.53955805275
2006,STOKES,NC,26306.704822339998
2006,SURRY,NC,98833.8349806853
2006,SWAIN,NC,31793.0271772665
2006,TRANSYLVANIA,NC,28490.4822540475
2006,TYRRELL,NC,1217.798313006
2006,UNION,NC,68956.13458341715
2006,VANCE,NC,51827.2596415165
2006,WAKE,NC,1153981.945541952
2006,WARREN,NC,4227.4703289905
2006,WASHINGTON,NC,4422.429004086
2006,WATAUGA,NC,64989.47500515575
2006,WAYNE,NC,78056.08268098824
2006,WILKES,NC,78224.28879920526
2006,WILSON,NC,39515856.81816814
2006,YADKIN,NC,17568.67088312425
2006,YANCEY,NC,25058.665740014
2007,ALAMANCE,NC,99799.18850344249
2007,ALEXANDER,NC,25023.75191354
2007,ALLEGHANY,NC,7547.8225038755
2007,ANSON,NC,9300.485638177
2007,ASHE,NC,16990.40702128725
2007,AVERY,NC,19402.994478393
2007,BEAUFORT,NC,37273.52332735375
2007,BERTIE,NC,7151.186295109
2007,BLADEN,NC,29139.08209212475
2007,BRUNSWICK,NC,113267.625284004
2007,BUNCOMBE,NC,433143.77007086325
2007,BURKE,NC,104720.91575742875
2007,CABARRUS,NC,286666.30908740556
2007,CALDWELL,NC,79177.881061602
2007,CARTERET,NC,87119.53689605
2007,CASWELL,NC,7329.305004181
2007,CATAWBA,NC,184208.093866449
2007,CHATHAM,NC,23320.8789351675
2007,CHEROKEE,NC,57443.6641000374
2007,CHOWAN,NC,5998.9050795475
2007,CLAY,NC,10183.451487228
2007,CLEVELAND,NC,93936.3250735675
2007,COLUMBUS,NC,101740.29209794625
2007,CRAVEN,NC,125329.35943400944
2007,CUMBERLAND,NC,237552.1327743075
2007,CURRITUCK,NC,7258.153411089
2007,DARE,NC,38608.4857411016
2007,DAVIDSON,NC,98710.027056083
2007,DAVIE,NC,35909.73772071325
2007,DUPLIN,NC,24910.620804934748
2007,DURHAM,NC,1702923.8611213274
2007,EDGECOMBE,NC,22531.097096415
2007,FORSYTH,NC,353881.8902522627
2007,FRANKLIN,NC,27541.564764008
2007,GASTON,NC,245776.31737160526
2007,GATES,NC,2472.4672002415
2007,GRAHAM,NC,14565.74139447965
2007,GRANVILLE,NC,54619.7945328035
2007,GREENE,NC,5029.883582879
2007,GUILFORD,NC,37922715.2035812
2007,HALIFAX,NC,31255.4780400075
2007,HARNETT,NC,58237.29890535145
