year,BUYER_COUNTY,BUYER_STATE,strength
2006,ADAMS,NE,10843.6965647015
2006,ANTELOPE,NE,1460.25301278075
2006,BOONE,NE,3742.23803976575
2006,BOX BUTTE,NE,4189.74437497
2006,BOYD,NE,339.85675862225
2006,BROWN,NE,556.197596492
2006,BUFFALO,NE,12249.50391043465
2006,BURT,NE,1056.499943392
2006,BUTLER,NE,1105.065983555
2006,CASS,NE,3477.0648723609997
2006,CEDAR,NE,1011.571659952
2006,CHASE,NE,1526.051702202
2006,CHERRY,NE,4208.716207279
2006,CHEYENNE,NE,4919.55367153975
2006,COLFAX,NE,1042.387824871
2006,CUMING,NE,1105.911479864
2006,CUSTER,NE,5762.747768658
2006,DAKOTA,NE,3270.0472154165
2006,DAWES,NE,3846.7852668154997
2006,DAWSON,NE,129859.749083563
2006,DEUEL,NE,1149.478695756
2006,DIXON,NE,158.25001034
2006,DODGE,NE,30446.044230498
2006,DOUGLAS,NE,293067.79095971823
2006,DUNDY,NE,885.031666867
2006,FILLMORE,NE,3502.38721335075
2006,FRANKLIN,NE,1061.44369856675
2006,FRONTIER,NE,0.407204781
2006,FURNAS,NE,2453.215941807
2006,GAGE,NE,12840.15783573015
2006,GARDEN,NE,1009.255628258
2006,GARFIELD,NE,711.89849649875
2006,GREELEY,NE,55.34477728
2006,HALL,NE,28902.800807486998
2006,HAMILTON,NE,2860.192573978
2006,HARLAN,NE,967.665022852
2006,HITCHCOCK,NE,0.043575
2006,HOLT,NE,3056.9814004385
2006,HOOKER,NE,2.2909430850000003
2006,HOWARD,NE,1324.909086033
2006,JEFFERSON,NE,1514.5660844669999
2006,JOHNSON,NE,1241.805691294
2006,KEARNEY,NE,1059.516313009
2006,KEITH,NE,4370.951924071
2006,KIMBALL,NE,5751.906910176
2006,KNOX,NE,3549.163513053
2006,LANCASTER,NE,21898748.897682477
2006,LINCOLN,NE,20453.026856367
2006,MADISON,NE,14455.486897870249
2006,MERRICK,NE,1953.4749356539999
2006,MORRILL,NE,2026.4328094225
2006,NANCE,NE,1159.136608134
2006,NEMAHA,NE,3068.089333579
2006,NUCKOLLS,NE,2995.68075361825
2006,OTOE,NE,6230.21782589
2006,PAWNEE,NE,550.39519478
2006,PERKINS,NE,417.89106284
2006,PHELPS,NE,3973.580558708
2006,PIERCE,NE,1466.6971712941
2006,PLATTE,NE,8909.87421435375
2006,POLK,NE,1059.491293994
2006,RED WILLOW,NE,4462.6702004675
2006,RICHARDSON,NE,6022.79358761625
2006,ROCK,NE,111.24226245
2006,SALINE,NE,4736.446354339
2006,SARPY,NE,765759.264116459
2006,SAUNDERS,NE,3730.904305811
2006,SCOTTS BLUFF,NE,24943.943062529
2006,SEWARD,NE,6621.6223359555
2006,SHERIDAN,NE,916.513211575
2006,SHERMAN,NE,187.199510533
2006,THAYER,NE,1341.22326263325
2006,THURSTON,NE,2084.207895443
2006,VALLEY,NE,3745.270748537
2006,WASHINGTON,NE,4777.23229369425
2006,WAYNE,NE,1776.32912052125
2006,WEBSTER,NE,849.184265127
2006,YORK,NE,5922.9446470605
2007,ADAMS,NE,14282.36776348125
2007,ANTELOPE,NE,1951.907107159
2007,BLAINE,NE,2.5748480000000002
2007,BOONE,NE,3966.69418866
2007,BOX BUTTE,NE,5157.974832528
2007,BOYD,NE,275.523377137
2007,BROWN,NE,898.8807389765
2007,BUFFALO,NE,11721.40059240895
2007,BURT,NE,1120.00572111425
2007,BUTLER,NE,1012.8616101565
2007,CASS,NE,4038.5428102309997
2007,CEDAR,NE,1026.94615967275
2007,CHASE,NE,1796.04993220025
2007,CHERRY,NE,3448.82725647175
2007,CHEYENNE,NE,6479.9208213745
2007,CLAY,NE,40.045690525
2007,COLFAX,NE,1147.6146903459999
2007,CUMING,NE,1281.198823232
2007,CUSTER,NE,6602.0256043405
2007,DAKOTA,NE,3513.5658371864997
2007,DAWES,NE,4078.0543779095
2007,DAWSON,NE,73559.572698213
2007,DEUEL,NE,1268.8757997385
2007,DIXON,NE,351.197841975
2007,DODGE,NE,32608.31122757775
2007,DOUGLAS,NE,297248.1545158952
2007,DUNDY,NE,1210.738099507
2007,FILLMORE,NE,2676.611778981
2007,FRANKLIN,NE,647.446987403
2007,FRONTIER,NE,0.0915485
2007,FURNAS,NE,2881.125050199
2007,GAGE,NE,14268.3578302327
2007,GARDEN,NE,1105.3259744115
2007,GARFIELD,NE,1262.281922746
2007,GRANT,NE,0.3027
2007,GREELEY,NE,59.82879468
2007,HALL,NE,32009.1390923885
2007,HAMILTON,NE,2197.150631977
2007,HARLAN,NE,772.351392995
2007,HOLT,NE,3119.039824956
2007,HOOKER,NE,2.2282053900000003
2007,HOWARD,NE,1721.629031368
2007,JEFFERSON,NE,1797.6253921995
2007,JOHNSON,NE,1831.560696957
2007,KEARNEY,NE,991.028587755
2007,KEITH,NE,5565.970969217
2007,KIMBALL,NE,1220.445463656
2007,KNOX,NE,3526.6709227994997
2007,LANCASTER,NE,20314957.985656686
2007,LINCOLN,NE,19896.22774622675
2007,MADISON,NE,14773.71202900945
2007,MERRICK,NE,1933.537306779
2007,MORRILL,NE,2482.826516469
2007,NANCE,NE,1023.473951076
2007,NEMAHA,NE,2996.991391523
2007,NUCKOLLS,NE,2208.93830410675
2007,OTOE,NE,7260.909733058
2007,PAWNEE,NE,596.919664217
2007,PERKINS,NE,628.94094356725
2007,PHELPS,NE,3384.7058603235
2007,PIERCE,NE,1585.180557751
2007,PLATTE,NE,8077.6120379715
2007,POLK,NE,1046.027563471
2007,RED WILLOW,NE,5904.162947784
2007,RICHARDSON,NE,6333.9974303795
2007,ROCK,NE,20.11502625
2007,SALINE,NE,4752.25289186465
2007,SARPY,NE,555735.0686941645
2007,SAUNDERS,NE,4408.916063021
2007,SCOTTS BLUFF,NE,25095.15226315625
2007,SEWARD,NE,6805.67574260475
2007,SHERIDAN,NE,1164.250651364
2007,SHERMAN,NE,300.167337928
2007,THAYER,NE,1250.8187941035
2007,THURSTON,NE,1847.44300473525
2007,VALLEY,NE,3844.1947300184997
