year,BUYER_COUNTY,BUYER_STATE,strength
2006,BELKNAP,NH,63178.859080010996
2006,CARROLL,NH,56069.651601500496
2006,CHESHIRE,NH,42111.2745779915
2006,COOS,NH,28242.5397341875
2006,GRAFTON,NH,104437.30612711074
2006,HILLSBOROUGH,NH,312228.866708003
2006,MERRIMACK,NH,162872.23747336326
2006,ROCKINGHAM,NH,395719.99679967575
2006,STRAFFORD,NH,183542.6875742075
2006,SULLIVAN,NH,33841.493259995
2007,BELKNAP,NH,86536.0825238195
2007,CARROLL,NH,64667.2540407265
2007,CHESHIRE,NH,52802.990317960495
2007,COOS,NH,37139.579060257
2007,GRAFTON,NH,119842.16782196324
2007,HILLSBOROUGH,NH,352412.40550194297
2007,MERRIMACK,NH,184825.26151619575
2007,ROCKINGHAM,NH,785861.4991476373
2007,STRAFFORD,NH,216086.818834179
2007,SULLIVAN,NH,38241.1276088555
2008,BELKNAP,NH,77133.89100757125
2008,CARROLL,NH,49135.1294959465
2008,CHESHIRE,NH,60064.95121154365
2008,COOS,NH,39854.10311808385
2008,GRAFTON,NH,111171.9585113565
2008,HILLSBOROUGH,NH,337750.09060459747
2008,MERRIMACK,NH,176136.82288586374
2008,ROCKINGHAM,NH,851318.069288858
2008,STRAFFORD,NH,185870.50128964224
2008,SULLIVAN,NH,37235.4572654765
2009,BELKNAP,NH,80657.055729486
2009,CARROLL,NH,54057.6312576535
2009,CHESHIRE,NH,57289.099441357
2009,COOS,NH,55678.9242481705
2009,GRAFTON,NH,126131.45985998974
2009,HILLSBOROUGH,NH,406665.59800791397
2009,MERRIMACK,NH,196731.397834498
2009,ROCKINGHAM,NH,963974.2387680575
2009,STRAFFORD,NH,207386.37128666125
2009,SULLIVAN,NH,44071.023143954
2010,BELKNAP,NH,82189.01562799049
2010,CARROLL,NH,59982.7514065995
2010,CHESHIRE,NH,62050.772137595
2010,COOS,NH,58390.197814724
2010,GRAFTON,NH,141679.6551278425
2010,HILLSBOROUGH,NH,459601.0206751775
2010,MERRIMACK,NH,225436.2946014565
2010,ROCKINGHAM,NH,1022175.4294486757
2010,STRAFFORD,NH,224922.68330173375
2010,SULLIVAN,NH,50787.1137860955
2011,BELKNAP,NH,81120.5753344695
2011,CARROLL,NH,66847.55374703249
2011,CHESHIRE,NH,60182.266595741996
2011,COOS,NH,52193.196044436
2011,GRAFTON,NH,138529.965383485
2011,HILLSBOROUGH,NH,479144.1452429575
2011,MERRIMACK,NH,222256.12705772676
2011,ROCKINGHAM,NH,1024012.8625200753
2011,STRAFFORD,NH,219415.5383436675
2011,SULLIVAN,NH,59872.722399802
2012,BELKNAP,NH,81131.9570542185
2012,CARROLL,NH,70217.0326047825
2012,CHESHIRE,NH,71928.980224938
2012,COOS,NH,60877.584722513
2012,GRAFTON,NH,149851.995901266
2012,HILLSBOROUGH,NH,523990.103447535
2012,MERRIMACK,NH,259311.60074144
2012,ROCKINGHAM,NH,1060607.1726190695
2012,STRAFFORD,NH,437869.3451898385
2012,SULLIVAN,NH,66386.2163986585
2013,BELKNAP,NH,83076.7211572665
2013,CARROLL,NH,83232.84475010399
2013,CHESHIRE,NH,80059.049186775
2013,COOS,NH,58373.400251729996
2013,GRAFTON,NH,159447.2111903475
2013,HILLSBOROUGH,NH,524281.066027175
2013,MERRIMACK,NH,284285.1985245935
2013,ROCKINGHAM,NH,1044390.9797884875
2013,STRAFFORD,NH,227899.9050467205
2013,SULLIVAN,NH,75472.7643966985
2014,BELKNAP,NH,92398.3600294685
2014,CARROLL,NH,75889.93179751749
2014,CHESHIRE,NH,85124.9485425075
2014,COOS,NH,59619.3144086755
2014,GRAFTON,NH,177336.026624027
2014,HILLSBOROUGH,NH,542533.092631145
