year,BUYER_COUNTY,BUYER_STATE,strength
2006,ATLANTIC,NJ,335719.4432452583
2006,BERGEN,NJ,1947509.9388574206
2006,BURLINGTON,NJ,3931973.889904103
2006,CAMDEN,NJ,2758943.6233977443
2006,CAPE MAY,NJ,96450.6423817995
2006,CUMBERLAND,NJ,101050.75615689215
2006,ESSEX,NJ,22045326.812915724
2006,GLOUCESTER,NJ,80822155.77703553
2006,GRUNDY,NJ,0.015560250000000001
2006,HUDSON,NJ,334258.20994477294
2006,HUNTERDON,NJ,69454.4594136935
2006,MERCER,NJ,445865.661363728
2006,MIDDLESEX,NJ,7826857.320162858
2006,MONMOUTH,NJ,763249.8713687421
2006,MORRIS,NJ,4622998.65362808
2006,OCEAN,NJ,584745.293488059
2006,PASSAIC,NJ,24367748.04462085
2006,SALEM,NJ,18523314.03566803
2006,SOMERSET,NJ,175157823.27768764
2006,SUSSEX,NJ,578210.5487824908
2006,UNION,NJ,6242334.333059327
2006,WARREN,NJ,111522.467569052
2007,ATLANTIC,NJ,407156.08584020217
2007,BERGEN,NJ,1690811.679276149
2007,BURLINGTON,NJ,4882337.987623694
2007,CAMDEN,NJ,3005369.611494222
2007,CAPE MAY,NJ,116108.4629349995
2007,CUMBERLAND,NJ,114483.0202307895
2007,ESSEX,NJ,15606012.287093328
2007,GLOUCESTER,NJ,58624899.1184489
2007,HUDSON,NJ,918067.1015847645
2007,HUNTERDON,NJ,67879.77352957
2007,MERCER,NJ,1728305.49006448
2007,MIDDLESEX,NJ,5715353.105476717
2007,MONMOUTH,NJ,793209.8049739677
2007,MORRIS,NJ,3731711.0542504075
2007,OCEAN,NJ,3784450.2150445688
2007,PASSAIC,NJ,36340747.064029545
2007,SALEM,NJ,9519451.81043392
2007,SOMERSET,NJ,149591688.73286054
2007,SUSSEX,NJ,498761.01905624336
2007,UNION,NJ,5748569.658063107
2007,WARREN,NJ,121957.5641140574
2008,ATLANTIC,NJ,440261.97160432325
2008,BERGEN,NJ,96511462.11283495
2008,BURLINGTON,NJ,5829032.187862089
2008,CAMDEN,NJ,3410981.4841192723
2008,CAPE MAY,NJ,134888.75269906275
2008,CUMBERLAND,NJ,143148.11088803926
2008,ESSEX,NJ,7344292.456172815
2008,GLOUCESTER,NJ,40369470.49220991
2008,HUDSON,NJ,1422550.0898584486
2008,HUNTERDON,NJ,65701.43998580049
2008,MERCER,NJ,331546.3686594694
2008,MIDDLESEX,NJ,2430120.9917189297
2008,MONMOUTH,NJ,701160.337303133
2008,MORRIS,NJ,2001636.076631857
2008,OCEAN,NJ,884839.1763136353
2008,PASSAIC,NJ,31394146.238402694
2008,SALEM,NJ,11239927.069012817
2008,SOMERSET,NJ,77473714.42514795
2008,SUSSEX,NJ,385380.27103050606
2008,UNION,NJ,6690817.686451581
2008,WARREN,NJ,132880.98949614185
2009,ATLANTIC,NJ,473566.73769129976
2009,BERGEN,NJ,1300489.4887206692
2009,BURLINGTON,NJ,5687757.295015913
2009,CAMDEN,NJ,3101260.900188258
2009,CAPE MAY,NJ,154435.52357879875
2009,CUMBERLAND,NJ,160342.4025353175
2009,ESSEX,NJ,8828028.833646951
2009,GLOUCESTER,NJ,67143108.327437
2009,HUDSON,NJ,1558733.9235617775
2009,HUNTERDON,NJ,70218.59035696875
2009,MERCER,NJ,326608.94786316884
2009,MIDDLESEX,NJ,7853561.490349403
2009,MONMOUTH,NJ,799362.0464092934
2009,MORRIS,NJ,6045830.547860921
2009,OCEAN,NJ,1311592.7746147567
2009,PASSAIC,NJ,30649428.351333003
2009,SALEM,NJ,10228529.873975096
2009,SOMERSET,NJ,34344287.14267255
2009,SUSSEX,NJ,393609.445633119
2009,UNION,NJ,5490639.759312261
2009,WARREN,NJ,134610.169460362
2010,ATLANTIC,NJ,482078.1792386525
2010,BERGEN,NJ,14357893.010086343
2010,BURLINGTON,NJ,6948761.525644929
2010,CAMDEN,NJ,8040193.146684454
2010,CAPE MAY,NJ,171841.381545383
2010,CUMBERLAND,NJ,168354.5085450535
2010,ESSEX,NJ,25443379.439824264
2010,GLOUCESTER,NJ,102151416.61654122
2010,HUDSON,NJ,1627495.588073059
2010,HUNTERDON,NJ,83262.703228666
2010,MERCER,NJ,362275.903345823
2010,MIDDLESEX,NJ,4803373.628878317
2010,MONMOUTH,NJ,849027.433032766
2010,MORRIS,NJ,9562175.991868885
2010,OCEAN,NJ,2588103.0131557924
2010,PASSAIC,NJ,29378627.127977375
2010,SALEM,NJ,94924433.72995344
2010,SOMERSET,NJ,2718865.314812901
2010,SUSSEX,NJ,158563.428674514
2010,UNION,NJ,42526729.38284119
2010,WARREN,NJ,142280.1418592465
2011,ATLANTIC,NJ,501482.4235793085
2011,BERGEN,NJ,20123060.161446463
2011,BURLINGTON,NJ,7045466.361876713
2011,CAMDEN,NJ,10725112.859354371
2011,CAPE MAY,NJ,176456.86955033024
2011,CUMBERLAND,NJ,194234.597608205
2011,ESSEX,NJ,32980979.274851084
2011,GLOUCESTER,NJ,86958517.58260511
2011,HUDSON,NJ,1846954.893582556
2011,HUNTERDON,NJ,89547.9054039615
2011,MERCER,NJ,425508.7390938025
2011,MIDDLESEX,NJ,5252293.026337695
2011,MONMOUTH,NJ,904055.4416179258
2011,MORRIS,NJ,4379020.996233203
2011,OCEAN,NJ,1860485.4011814978
2011,PASSAIC,NJ,3874675.6741992794
2011,SALEM,NJ,20530255.284064956
2011,SOMERSET,NJ,1882533.436676305
2011,SUSSEX,NJ,149133.7548264465
2011,UNION,NJ,55941522.50080746
2011,WARREN,NJ,145247.15452329
2012,ATLANTIC,NJ,493792.692064653
2012,BERGEN,NJ,35849324.01749908
2012,BURLINGTON,NJ,7157461.742326184
2012,CAMDEN,NJ,6948822.042906524
2012,CAPE MAY,NJ,199351.9774590735
2012,CUMBERLAND,NJ,209855.2258892855
2012,ESSEX,NJ,49822189.06713191
2012,GLOUCESTER,NJ,71970749.16787562
