year,BUYER_COUNTY,BUYER_STATE,strength
2006,BERNALILLO,NM,753549.041584957
2006,CATRON,NM,75.2635025
2006,CHAVES,NM,32705.723711270748
2006,CIBOLA,NM,6524.064875225
2006,COLFAX,NM,8181.7338102657495
2006,CURRY,NM,17565.371419581348
2006,DE BACA,NM,348.725258059
2006,DONA ANA,NM,79554.88433860026
2006,EDDY,NM,26550.2716379845
2006,GRANT,NM,23317.1278256265
2006,GUADALUPE,NM,1393.468928651
2006,HIDALGO,NM,1763.03787976
2006,LEA,NM,23220.00228612675
2006,LINCOLN,NM,15159.447724902
2006,LOS ALAMOS,NM,7189.61006903865
2006,LUNA,NM,10794.751239625
2006,MCKINLEY,NM,21099.14512283225
2006,MORA,NM,0.1999192
2006,OTERO,NM,31348.7304765945
2006,QUAY,NM,5257.183123703
2006,RIO ARRIBA,NM,49197.951076318
2006,ROOSEVELT,NM,5181.6460350515
2006,SAN JUAN,NM,60180.827003599
2006,SAN MIGUEL,NM,13293.7009709415
2006,SANDOVAL,NM,41747.246404389
2006,SANTA FE,NM,89709.38220762179
2006,SIERRA,NM,8176.274388731
2006,SOCORRO,NM,7613.39615767315
2006,TAOS,NM,18517.2882490115
2006,TORRANCE,NM,4035.769251851
2006,UNION,NM,1109.540967717
2006,VALENCIA,NM,38332.095248806
2007,BERNALILLO,NM,720576.5251694823
2007,CATRON,NM,78.45934125
2007,CHAVES,NM,38616.4400756511
2007,CIBOLA,NM,6600.38428775025
2007,COLFAX,NM,6931.7312672544995
2007,CURRY,NM,20301.8157783439
2007,DE BACA,NM,432.605808036
2007,DONA ANA,NM,94892.37078961999
2007,EDDY,NM,31159.41498662
2007,GRANT,NM,25923.1306352755
2007,GUADALUPE,NM,1295.028730066
2007,HARDING,NM,3.3151499999999996
2007,HIDALGO,NM,1421.3789865965
2007,LEA,NM,25592.390371572
2007,LINCOLN,NM,16875.566081959
2007,LOS ALAMOS,NM,8742.506796743
2007,LUNA,NM,12131.25284393
2007,MCKINLEY,NM,24701.3767888915
2007,MORA,NM,0.01504
2007,OTERO,NM,36937.29121012425
2007,QUAY,NM,5900.422256407
2007,RIO ARRIBA,NM,55039.1800594485
2007,ROOSEVELT,NM,5793.9614205006
2007,SAN JUAN,NM,65397.28500923
2007,SAN MIGUEL,NM,16356.2439016805
2007,SANDOVAL,NM,50041.151916494
2007,SANTA FE,NM,104355.03974951655
2007,SIERRA,NM,10103.155969178
2007,SOCORRO,NM,10066.025055643
2007,TAOS,NM,21802.4092926917
2007,TORRANCE,NM,4708.57384423985
2007,UNION,NM,1219.1937669865
2007,VALENCIA,NM,44635.2963691045
2008,BERNALILLO,NM,825460.5239736532
2008,CATRON,NM,110.251395
2008,CHAVES,NM,45912.70976863925
2008,CIBOLA,NM,7542.02019962665
2008,COLFAX,NM,8079.14178642875
2008,CURRY,NM,23589.4008623765
2008,DE BACA,NM,715.1970881965
2008,DONA ANA,NM,104584.47103666625
2008,EDDY,NM,38334.22534889135
2008,GRANT,NM,32019.2623474985
2008,GUADALUPE,NM,1264.769119294
2008,HARDING,NM,2.9836349999999996
2008,HIDALGO,NM,287.0570562
2008,LEA,NM,27592.4426476915
2008,LINCOLN,NM,19023.78338595675
2008,LOS ALAMOS,NM,11087.5601081521
2008,LUNA,NM,13814.116783942
2008,MCKINLEY,NM,25857.972700846498
2008,MORA,NM,0.28115496
2008,OTERO,NM,38254.4456891635
2008,QUAY,NM,6492.844562737
2008,RIO ARRIBA,NM,61466.5886652508
2008,ROOSEVELT,NM,5470.2223186773
2008,SAN JUAN,NM,65084.306629804
2008,SAN MIGUEL,NM,18851.42260156
2008,SANDOVAL,NM,59273.3112334915
2008,SANTA FE,NM,121764.6324664805
2008,SIERRA,NM,12767.59935323875
