year,BUYER_COUNTY,BUYER_STATE,strength
2006,CARSON CITY,NV,57955.5407687103
2006,CHURCHILL,NV,20122.028768108
2006,CLARK,NV,2344742.1145299417
2006,DOUGLAS,NV,35133.5973849315
2006,ELKO,NV,25362.8018274833
2006,EUREKA,NV,0.45405
2006,HUMBOLDT,NV,6598.448176026
2006,LANDER,NV,2245.590381757
2006,LINCOLN,NV,3644.1866361899997
2006,LYON,NV,19307.7767504745
2006,MINERAL,NV,2461.3566261635
2006,NYE,NV,57825.8224034426
2006,PERSHING,NV,2187.026452777
2006,WASHOE,NV,537544.1746839064
2006,WHITE PINE,NV,10674.167835007
2007,CARSON CITY,NV,63220.69475722145
2007,CHURCHILL,NV,22171.0230383355
2007,CLARK,NV,2621812.904977151
2007,DOUGLAS,NV,41037.21028411275
2007,ELKO,NV,26891.4096970871
2007,EUREKA,NV,0.45405
2007,HUMBOLDT,NV,7728.775475133
2007,LANDER,NV,2983.9470798975
2007,LINCOLN,NV,4478.046839658
2007,LYON,NV,23519.29041307
2007,MINERAL,NV,3239.9870309059997
2007,NYE,NV,71995.9223965545
2007,PERSHING,NV,2092.017842524
2007,WASHOE,NV,499132.832547151
2007,WHITE PINE,NV,10919.852646649
2008,CARSON CITY,NV,71292.001732713
2008,CHURCHILL,NV,24238.3069287905
2008,CLARK,NV,2726423.7231498193
2008,DOUGLAS,NV,45849.35725873775
2008,ELKO,NV,28420.0644143025
2008,EUREKA,NV,0.45405
2008,HUMBOLDT,NV,9857.292301199
2008,LANDER,NV,2649.231585952
2008,LINCOLN,NV,4575.520461113
2008,LYON,NV,30129.065873541498
2008,MINERAL,NV,5007.235781326
2008,NYE,NV,73807.71316777726
2008,PERSHING,NV,2647.08918980875
2008,WASHOE,NV,528354.4197194506
2008,WHITE PINE,NV,10798.37506428825
2009,CARSON CITY,NV,81498.4286968265
2009,CHURCHILL,NV,26383.8918228162
2009,CLARK,NV,2900436.3757468173
2009,DOUGLAS,NV,50264.567675943
2009,ELKO,NV,30936.9279016195
2009,EUREKA,NV,0.44799600000000006
2009,HUMBOLDT,NV,9802.879404115
2009,LANDER,NV,2906.191459998
2009,LINCOLN,NV,5047.771057894
2009,LYON,NV,34323.840659661
2009,MINERAL,NV,5868.758565518
2009,NYE,NV,81894.45906946945
2009,PERSHING,NV,2838.099612638
2009,WASHOE,NV,565696.7972984788
2009,WHITE PINE,NV,13059.009094284
2010,CARSON CITY,NV,87443.171372178
2010,CHURCHILL,NV,26642.4852649522
2010,CLARK,NV,3190610.515373095
2010,DOUGLAS,NV,54105.1866796925
2010,ELKO,NV,33298.638682559
2010,HUMBOLDT,NV,10427.5518562655
2010,LANDER,NV,3048.065444469
2010,LINCOLN,NV,5056.748813656
2010,LYON,NV,39322.724843482996
2010,MINERAL,NV,6858.305605914
2010,NYE,NV,84850.15834653475
2010,PERSHING,NV,2849.05185125
2010,WASHOE,NV,613804.6795959615
2010,WHITE PINE,NV,13812.45936477525
2011,CARSON CITY,NV,88502.9201989015
2011,CHURCHILL,NV,26920.825659644
2011,CLARK,NV,3432223.804776807
2011,DOUGLAS,NV,54763.8813265145
2011,ELKO,NV,38025.1913393075
2011,HUMBOLDT,NV,10939.222432056
2011,LANDER,NV,3217.412488092
2011,LINCOLN,NV,6082.408391368
2011,LYON,NV,44776.215653628
2011,MINERAL,NV,6419.869091977
2011,NYE,NV,94638.5852022395
2011,PERSHING,NV,1564.528999165
2011,WASHOE,NV,590107.754369569
2011,WHITE PINE,NV,15003.847340910499
2012,CARSON CITY,NV,85693.7647433945
2012,CHURCHILL,NV,26910.5188231883
2012,CLARK,NV,3359252.170538129
2012,DOUGLAS,NV,53529.705716461
2012,ELKO,NV,45541.307713067
2012,HUMBOLDT,NV,13169.5614227505
2012,LANDER,NV,3437.5297759715
2012,LINCOLN,NV,5730.6388178834995
2012,LYON,NV,50309.115793677
2012,MINERAL,NV,6120.011595497
2012,NYE,NV,82691.399561866
2012,PERSHING,NV,2069.267451666
2012,WASHOE,NV,610275.7764682809
2012,WHITE PINE,NV,15657.3569331335
2013,CARSON CITY,NV,82161.3393271685
2013,CHURCHILL,NV,24870.384036759
2013,CLARK,NV,3034323.0115775433
2013,DOUGLAS,NV,51420.710882310996
2013,ELKO,NV,41372.947751846
2013,HUMBOLDT,NV,13662.1846214285
2013,LANDER,NV,3171.189721036
2013,LINCOLN,NV,6015.0667007225
2013,LYON,NV,52001.034421325
2013,MINERAL,NV,6546.250059039
2013,NYE,NV,64459.7582024815
2013,PERSHING,NV,2300.004180201
2013,WASHOE,NV,574746.6236149595
2013,WHITE PINE,NV,14001.0762289745
2014,CARSON CITY,NV,89794.466340032
2014,CHURCHILL,NV,26778.071516048498
2014,CLARK,NV,3136000.6386113586
2014,DOUGLAS,NV,49703.6003377455
2014,ELKO,NV,39391.335217036
2014,HUMBOLDT,NV,14589.770185164
2014,LANDER,NV,3014.282281711
2014,LINCOLN,NV,6399.7698418935
2014,LYON,NV,56957.383665236
2014,MINERAL,NV,6348.336727165
2014,NYE,NV,67072.579959572
2014,PERSHING,NV,2216.422162751
2014,WASHOE,NV,584600.586730372
2014,WHITE PINE,NV,12441.1214245535
2015,CARSON CITY,NV,99128.81718823
2015,CHURCHILL,NV,26623.074068561997
2015,CLARK,NV,2618846.0198238227
2015,DOUGLAS,NV,49854.54132329965
2015,ELKO,NV,37142.25169482399
2015,EUREKA,NV,0.45
2015,HUMBOLDT,NV,15281.887608743
2015,LANDER,NV,2982.517220585
2015,LINCOLN,NV,6084.281091663
2015,LYON,NV,58003.739229783496
2015,MINERAL,NV,6750.200427741
2015,NYE,NV,67537.04547857899
2015,PERSHING,NV,2309.5291132129996
2015,STOREY,NV,2.1149999999999998
2015,WASHOE,NV,795165.742874663
2015,WHITE PINE,NV,12509.323190289
2016,CARSON CITY,NV,91840.06022438749
2016,CHURCHILL,NV,23388.648687252
2016,CLARK,NV,2679227.7135114423
2016,DOUGLAS,NV,48081.055312229495
2016,ELKO,NV,33313.011761249
2016,EUREKA,NV,0.45
2016,HUMBOLDT,NV,11652.456143653999
2016,LANDER,NV,2327.1148031059997
2016,LINCOLN,NV,5200.68965164
2016,LYON,NV,53868.494379174495
2016,MINERAL,NV,6443.471187319
2016,NYE,NV,64484.187439732
2016,PERSHING,NV,2197.3644401539996
2016,STOREY,NV,2.006
2016,WASHOE,NV,554313.4819153835
2016,WHITE PINE,NV,11228.01027121
2017,CARSON CITY,NV,84341.612894341
2017,CHURCHILL,NV,20992.791758917
