year,BUYER_COUNTY,BUYER_STATE,strength
2006,ADAMS,OH,24015.644001369
2006,ALLEN,OH,11510672.953193372
2006,ASHLAND,OH,13987.9017744593
2006,ASHTABULA,OH,52597.783314999746
2006,ATHENS,OH,46810.228070407
2006,AUGLAIZE,OH,16610.68541995
2006,BELMONT,OH,63207.5193168236
2006,BROWN,OH,33019.6886824915
2006,BUTLER,OH,318483.5388515629
2006,CARROLL,OH,6380.9022865375
2006,CHAMPAIGN,OH,16721.5672475955
2006,CLARK,OH,134642.95751734174
2006,CLERMONT,OH,142174.37571098888
2006,CLINTON,OH,44318.48839702325
2006,COLUMBIANA,OH,56370.156226099745
2006,COSHOCTON,OH,12773.514021052999
2006,CRAWFORD,OH,29578.20826094575
2006,CUYAHOGA,OH,5385495.517643021
2006,DARKE,OH,20012.789589737
2006,DEFIANCE,OH,19354.28541633475
2006,DELAWARE,OH,96697.78612943724
2006,ERIE,OH,44399.07983217475
2006,FAIRFIELD,OH,97232.38977980964
2006,FAYETTE,OH,2132171.3094304516
2006,FRANKLIN,OH,141688410.36046013
2006,FULTON,OH,16799.088024571
2006,GALLIA,OH,38001.5876355205
2006,GEAUGA,OH,48368.46219941175
2006,GREENE,OH,132744.6629054235
2006,GUERNSEY,OH,22339.4508738035
2006,HAMILTON,OH,1046876.6624113758
2006,HANCOCK,OH,2633260.646591748
2006,HARDIN,OH,14825.94151583475
2006,HARRISON,OH,4031.78534600165
2006,HENRY,OH,9717.07462131925
2006,HIGHLAND,OH,42392.735415698
2006,HOCKING,OH,14986.320708434
2006,HOLMES,OH,4520.65311606
2006,HURON,OH,29727.08932668835
2006,JACKSON,OH,68759.262609649
2006,JEFFERSON,OH,104275.608969327
2006,KNOX,OH,28397.6970451185
2006,LAKE,OH,129359.079205686
2006,LAWRENCE,OH,42063.3446104065
2006,LICKING,OH,67097.08351315524
2006,LOGAN,OH,26588.426341358
2006,LORAIN,OH,157503.12219930295
2006,LUCAS,OH,2633661.884745998
2006,MADISON,OH,28205.4735360235
2006,MAHONING,OH,258314.7156404192
2006,MARION,OH,34455.726005117496
2006,MEDINA,OH,137422.7733437845
2006,MEIGS,OH,21174.715685724
2006,MERCER,OH,14897.964457789
2006,MIAMI,OH,70360.10929388745
2006,MONROE,OH,6656.66358509275
2006,MONTGOMERY,OH,529097.428640155
2006,MORGAN,OH,3807.32731214325
2006,MORROW,OH,17533.901719843
2006,MUSKINGUM,OH,790413.462250854
2006,NOBLE,OH,5896.4637634115
2006,OTTAWA,OH,15062.7691324375
2006,PAULDING,OH,11877.903278950249
2006,PERRY,OH,19141.97296727225
2006,PICKAWAY,OH,35150.639493768
2006,PIKE,OH,21272.5266540755
2006,PORTAGE,OH,62357.86002478825
2006,PREBLE,OH,19485.283026443998
2006,PUTNAM,OH,9975.231007499
2006,RICHLAND,OH,78604.71830638224
2006,ROSS,OH,93876.553487168
2006,SANDUSKY,OH,20296.21698880725
2006,SCIOTO,OH,76275.341567014
2006,SENECA,OH,32983.526375339
2006,SHELBY,OH,19638.620923303748
2006,STARK,OH,201548.91766445336
2006,SUMMIT,OH,472739.48804441106
2006,TRUMBULL,OH,238325.43007078016
2006,TUSCARAWAS,OH,50688.23497120445
2006,UNION,OH,36471.986752275
2006,VAN WERT,OH,11001.527465826499
2006,VINTON,OH,2418.672280832
2006,WARREN,OH,388556.27215453354
2006,WASHINGTON,OH,42395.4213638545
2006,WAYNE,OH,34937.86148315445
2006,WILLIAMS,OH,150174.93749153678
2006,WOOD,OH,1028487.6202357741
2006,WYANDOT,OH,4639.16619713475
2007,ADAMS,OH,24093.330107813
2007,ALLEN,OH,48490.7095036105
2007,ASHLAND,OH,16567.831311208
2007,ASHTABULA,OH,61075.5916798965
2007,ATHENS,OH,47566.6626664
2007,AUGLAIZE,OH,19602.6941921086
2007,BELMONT,OH,74815.7581312155
2007,BROWN,OH,33675.92217727965
2007,BUTLER,OH,349810.542991249
2007,CARROLL,OH,8216.8536550645
2007,CHAMPAIGN,OH,19244.366066163948
2007,CLARK,OH,143850.41001042194
2007,CLERMONT,OH,160381.772442068
2007,CLINTON,OH,47626.03130078425
2007,COLUMBIANA,OH,65400.412514231495
2007,COSHOCTON,OH,15117.36497291525
2007,CRAWFORD,OH,31813.483054886998
2007,CUYAHOGA,OH,1095979.4499127723
2007,DARKE,OH,20585.7962770305
2007,DEFIANCE,OH,20853.97711315275
2007,DELAWARE,OH,109057.47856928664
2007,ERIE,OH,43685.8513113685
2007,FAIRFIELD,OH,110299.95502607335
2007,FAYETTE,OH,2059256.2821631825
2007,FRANKLIN,OH,169408810.11909223
2007,FULTON,OH,18508.48001448075
2007,GALLIA,OH,45337.2630700925
2007,GEAUGA,OH,52038.100123214695
2007,GREENE,OH,148707.9207898479
2007,GUERNSEY,OH,29587.7377646195
2007,HAMILTON,OH,1566043.4181492948
2007,HANCOCK,OH,3617115.465804286
2007,HARDIN,OH,16150.39358787175
2007,HARRISON,OH,5672.67286175
2007,HENRY,OH,9528.84216498125
2007,HIGHLAND,OH,46903.868489041946
2007,HOCKING,OH,18735.394343213
2007,HOLMES,OH,5447.8526837869995
