year,BUYER_COUNTY,BUYER_STATE,strength
2006,BAKER,OR,15065.6719376555
2006,BENTON,OR,44044.281990465
2006,CLACKAMAS,OR,2424656.6054525925
2006,CLATSOP,OR,60507.39320219635
2006,COLUMBIA,OR,28129.921888353598
2006,COOS,OR,68399.278318344
2006,CROOK,OR,11997.1899235331
2006,CURRY,OR,39604.630061564
2006,DESCHUTES,OR,92610.903142492
2006,DOUGLAS,OR,181573.523811825
2006,GILLIAM,OR,1028.014077631
2006,GRANT,OR,7505.548010878
2006,HARNEY,OR,7859.053471161
2006,HOOD RIVER,OR,18228.5758405285
2006,JACKSON,OR,284307.901947537
2006,JEFFERSON,OR,11129.6513769125
2006,JOSEPHINE,OR,103591.79141565399
2006,KLAMATH,OR,65971.146328382
2006,LAKE,OR,6595.5617457185
2006,LANE,OR,415146.9832809569
2006,LINCOLN,OR,66636.2060969652
2006,LINN,OR,106785.81085208809
2006,MALHEUR,OR,29576.4951802925
2006,MARION,OR,306094.0857677876
2006,MORROW,OR,2019.963373736
2006,MULTNOMAH,OR,1498772.1617386534
2006,POLK,OR,30306.3857571355
2006,SHERMAN,OR,10.320615
2006,TILLAMOOK,OR,39998.328858702
2006,UMATILLA,OR,39645.3019990995
2006,UNION,OR,19295.1736287585
2006,WALLOWA,OR,4522.7991213055
2006,WASCO,OR,31024.6705549765
2006,WASHINGTON,OR,417914.75932254415
2006,YAMHILL,OR,81076.0464659045
2007,BAKER,OR,18360.4713445905
2007,BENTON,OR,54891.3280271405
2007,CLACKAMAS,OR,2721586.459048685
2007,CLATSOP,OR,57883.497475291995
2007,COLUMBIA,OR,37972.833533623
2007,COOS,OR,79639.9289727215
2007,CROOK,OR,13883.313877282
2007,CURRY,OR,43747.07392441
2007,DESCHUTES,OR,104745.2989533925
2007,DOUGLAS,OR,197582.6255901685
2007,GILLIAM,OR,882.16847941065
2007,GRANT,OR,6465.651698378
2007,HARNEY,OR,8366.542575174999
2007,HOOD RIVER,OR,20542.940865374
2007,JACKSON,OR,338696.5988293935
2007,JEFFERSON,OR,14020.207208396
2007,JOSEPHINE,OR,117977.7559602925
2007,KLAMATH,OR,73236.1952669905
2007,LAKE,OR,8475.2407024945
2007,LANE,OR,454446.8742202726
2007,LINCOLN,OR,71902.917046078
2007,LINN,OR,122509.0042117688
2007,MALHEUR,OR,36710.1792659765
2007,MARION,OR,320788.6771665942
2007,MORROW,OR,2051.692002114
2007,MULTNOMAH,OR,1744274.8530437525
2007,POLK,OR,38298.91574929175
2007,SHERMAN,OR,10.9721475
2007,TILLAMOOK,OR,41640.140076299496
2007,UMATILLA,OR,44781.462744732
2007,UNION,OR,22925.50581831
2007,WALLOWA,OR,4680.332027988
2007,WASCO,OR,34245.0847663105
2007,WASHINGTON,OR,496911.3208742947
2007,YAMHILL,OR,89555.6612988265
2008,BAKER,OR,18142.0636006395
2008,BENTON,OR,62088.222065231
2008,CLACKAMAS,OR,2820398.1880117524
2008,CLATSOP,OR,58394.1600580875
2008,COLUMBIA,OR,46047.170614274495
2008,COOS,OR,91735.9184123555
2008,CROOK,OR,15906.860211535
2008,CURRY,OR,42062.1219305525
2008,DESCHUTES,OR,116529.6117608245
2008,DOUGLAS,OR,557479.2895110105
2008,GILLIAM,OR,699.475052084
