year,BUYER_COUNTY,BUYER_STATE,strength
2006,ADAMS,PA,47864.1968675355
2006,ALLEGHENY,PA,1695512.7169431904
2006,ARMSTRONG,PA,55960.444850204745
2006,BEAVER,PA,170965.6047978205
2006,BEDFORD,PA,29601.4748290275
2006,BERKS,PA,175958.109040955
2006,BLAIR,PA,1053228.0995652808
2006,BRADFORD,PA,44204.279938701
2006,BUCKS,PA,10881647.467908874
2006,BUTLER,PA,177558.02230046125
2006,CAMBRIA,PA,284399.7788006019
2006,CAMERON,PA,9454.94201642275
2006,CARBON,PA,51454.1962099565
2006,CENTRE,PA,86597.49556189279
2006,CHESTER,PA,335583.3929672085
2006,CLARION,PA,20318.543967667698
2006,CLEARFIELD,PA,81169.328948121
2006,CLINTON,PA,29123.176332091447
2006,COLUMBIA,PA,36553.23333537375
2006,CRAWFORD,PA,78749.40007509259
2006,CUMBERLAND,PA,166133.132595215
2006,DAUPHIN,PA,247798.79990377414
2006,DELAWARE,PA,638144.0818253299
2006,ELK,PA,31596.1644100185
2006,ERIE,PA,227732.8410839125
2006,FAYETTE,PA,244378.71217884283
2006,FOREST,PA,3054.672677522
2006,FRANKLIN,PA,69994.600061668
2006,FULTON,PA,5457.903732344
2006,GREENE,PA,16965.14910639375
2006,HUNTINGDON,PA,18560.949739809
2006,INDIANA,PA,114130.80454222475
2006,JEFFERSON,PA,28344.518917965248
2006,JUNIATA,PA,21810.376932283998
2006,LACKAWANNA,PA,212204.28979833284
2006,LANCASTER,PA,7684989.905848668
2006,LAWRENCE,PA,2120375.077172363
2006,LEBANON,PA,248588.5358460442
2006,LEHIGH,PA,766607.2661300059
2006,LUZERNE,PA,359334.76402241027
2006,LYCOMING,PA,81140.63081655999
2006,MCKEAN,PA,35218.25247861665
2006,MERCER,PA,154120.19047057864
2006,MIFFLIN,PA,29833.951582783247
2006,MONROE,PA,102224.8249533615
2006,MONTGOMERY,PA,7707138.321163158
2006,MONTOUR,PA,31290.81004078815
2006,NORTHAMPTON,PA,1154527.2353202442
2006,NORTHUMBERLAND,PA,78274.1230887765
2006,PERRY,PA,35681.2889055515
2006,PHILADELPHIA,PA,39265081.72965711
2006,PIKE,PA,36282.94720805
2006,POTTER,PA,9873.651988134
2006,SCHUYLKILL,PA,95205.4690573885
2006,SNYDER,PA,19888.440801595
2006,SOMERSET,PA,47030.217776469995
2006,SULLIVAN,PA,2052.46556116
2006,SUSQUEHANNA,PA,14565.148970570499
2006,TIOGA,PA,21631.738375937
2006,UNION,PA,16945.948582033998
2006,VENANGO,PA,41496.32097524155
2006,WARREN,PA,21297.995178248
2006,WASHINGTON,PA,158311.9975849477
2006,WAYNE,PA,37626.155445927
2006,WESTMORELAND,PA,342750.5749830565
2006,WYOMING,PA,17042.41267110625
2006,YORK,PA,250735.72714261978
2007,ADAMS,PA,54047.12218762495
2007,ALLEGHENY,PA,1686578.0357121571
2007,ARMSTRONG,PA,63786.9903144145
2007,BEAVER,PA,189702.2873342995
2007,BEDFORD,PA,33553.209575766996
2007,BERKS,PA,525266.8652426786
2007,BLAIR,PA,1349237.9608961209
2007,BRADFORD,PA,49349.597741708996
2007,BUCKS,PA,24200931.5840405
2007,BUTLER,PA,214564.9020895005
2007,CAMBRIA,PA,362944.9131699072
2007,CAMERON,PA,10383.326993667999
2007,CARBON,PA,63993.29512827275
2007,CENTRE,PA,81153.953685713
2007,CHESTER,PA,2620004.6479886584
2007,CLARION,PA,18590.601671463748
2007,CLEARFIELD,PA,81139.56668969449
2007,CLINTON,PA,32694.76856134725
2007,COLUMBIA,PA,46241.1983140275
2007,CRAWFORD,PA,89546.33247864425
2007,CUMBERLAND,PA,6120113.762357831
2007,DAUPHIN,PA,266089.32776795514
2007,DELAWARE,PA,792281.5388260353
2007,ELK,PA,36238.84683347525
2007,ERIE,PA,276584.8633580019
2007,FAYETTE,PA,280740.24888000847
2007,FOREST,PA,2825.0613062615
2007,FRANKLIN,PA,102108.8317934139
2007,FULTON,PA,6030.5755843575
2007,GREENE,PA,16935.6718211055
2007,HUNTINGDON,PA,19287.5057381135
2007,INDIANA,PA,114686.149691945
2007,JEFFERSON,PA,30738.00193714925
2007,JUNIATA,PA,22502.381110271497
2007,LACKAWANNA,PA,239766.7867842165
2007,LANCASTER,PA,5657601.177806106
2007,LAWRENCE,PA,2340985.390980751
2007,LEBANON,PA,179965.9203940635
2007,LEHIGH,PA,1411265.3303855394
2007,LUZERNE,PA,410376.89587308816
2007,LYCOMING,PA,88075.70416691495
2007,MCKEAN,PA,41628.25612375565
2007,MERCER,PA,157635.9209799121
2007,MIFFLIN,PA,32270.972604319748
2007,MONROE,PA,130251.80282462925
2007,MONTGOMERY,PA,14886033.600325989
2007,MONTOUR,PA,35095.8924964214
2007,NORTHAMPTON,PA,2492170.2286225376
2007,NORTHUMBERLAND,PA,86487.9598328265
2007,PERRY,PA,37333.6646753915
2007,PHILADELPHIA,PA,18880201.014403164
2007,PIKE,PA,41781.873127107996
2007,POTTER,PA,10400.3610877675
2007,SCHUYLKILL,PA,116145.3046352739
2007,SNYDER,PA,22285.529821548
2007,SOMERSET,PA,51006.6336405055
2007,SULLIVAN,PA,2599.779807391
2007,SUSQUEHANNA,PA,16435.3398197075
2007,TIOGA,PA,25419.039001948
2007,UNION,PA,20320.27174722145
2007,VENANGO,PA,51183.73757855
2007,WARREN,PA,23320.1687574955
2007,WASHINGTON,PA,192054.0461054355
2007,WAYNE,PA,37071.5443967079
2007,WESTMORELAND,PA,414792.8571543876
2007,WYOMING,PA,20338.212841213
2007,YORK,PA,282007.81683398766
2008,ADAMS,PA,56799.6631105285
2008,ALLEGHENY,PA,1769207.8117749356
2008,ARMSTRONG,PA,67411.56544417625
2008,BEAVER,PA,212163.442859046
2008,BEDFORD,PA,31160.6550652195
2008,BERKS,PA,237012.5505665645
2008,BLAIR,PA,1608240.7404143782
2008,BRADFORD,PA,52432.5080700085
2008,BUCKS,PA,5541914.835028105
2008,BUTLER,PA,230097.100195315
2008,CAMBRIA,PA,353832.283725554
2008,CAMERON,PA,10977.060841802999
2008,CARBON,PA,71251.589251517
2008,CENTRE,PA,83474.782088661
2008,CHESTER,PA,763818.3267598498
2008,CLARION,PA,21399.157097991
2008,CLEARFIELD,PA,89649.17925545175
2008,CLINTON,PA,37403.69975884825
2008,COLUMBIA,PA,53214.5580801018
2008,CRAWFORD,PA,126532.58713215099
2008,CUMBERLAND,PA,14582284.467956493
2008,DAUPHIN,PA,275321.5983435735
2008,DELAWARE,PA,930796.8350691395
2008,ELK,PA,40311.3170721115
2008,ERIE,PA,331824.1823106079
2008,FAYETTE,PA,289874.43659709697
2008,FOREST,PA,3123.261062541
2008,FRANKLIN,PA,95818.20697450175
2008,FULTON,PA,3306.164899837
2008,GREENE,PA,19924.299942553498
2008,HUNTINGDON,PA,19867.155785417
2008,INDIANA,PA,121365.90935235549
2008,JEFFERSON,PA,29791.95129996475
2008,JUNIATA,PA,21440.059696514498
2008,LACKAWANNA,PA,274076.73385822115
2008,LANCASTER,PA,13760339.931959368
2008,LAWRENCE,PA,2658264.6012896867
2008,LEBANON,PA,243841.129153265
2008,LEHIGH,PA,1759206.1117238102
2008,LUZERNE,PA,509838.977249348
2008,LYCOMING,PA,89028.5974838245
2008,MCKEAN,PA,44381.5326474055
2008,MERCER,PA,169850.16758760874
2008,MIFFLIN,PA,40609.62182041275
2008,MONROE,PA,160703.31129561624
2008,MONTGOMERY,PA,8606502.360471522
2008,MONTOUR,PA,34141.57500625975
2008,NORTHAMPTON,PA,3137096.973925633
2008,NORTHUMBERLAND,PA,97459.227190879
2008,PERRY,PA,41123.0201633585
2008,PHILADELPHIA,PA,18382246.20428449
2008,PIKE,PA,47954.55162839835
2008,POTTER,PA,12067.03649645575
2008,SCHUYLKILL,PA,128786.880507336
2008,SNYDER,PA,22899.15803070975
2008,SOMERSET,PA,56426.238623346995
2008,SULLIVAN,PA,2123.52361136675
2008,SUSQUEHANNA,PA,15883.667083095499
2008,TIOGA,PA,31725.4632964645
2008,UNION,PA,22551.0493397795
2008,VENANGO,PA,50591.219509438
2008,WARREN,PA,27476.44883437875
2008,WASHINGTON,PA,217410.9929047465
2008,WAYNE,PA,43606.60873034725
2008,WESTMORELAND,PA,507447.20037306874
2008,WYOMING,PA,20230.0724886865
2008,YORK,PA,312389.0573485267
2009,ADAMS,PA,68418.5815882575
2009,ALLEGHENY,PA,1868314.973903325
2009,ARMSTRONG,PA,77105.4444989965
2009,BEAVER,PA,243975.85173131
2009,BEDFORD,PA,35285.3613929185
2009,BERKS,PA,263302.7624088607
2009,BLAIR,PA,1599391.417858178
2009,BRADFORD,PA,56675.7263829515
2009,BUCKS,PA,7384644.06135947
2009,BUTLER,PA,282847.16854370746
2009,CAMBRIA,PA,385903.4417463095
2009,CAMERON,PA,10636.285110081
2009,CARBON,PA,73709.8397132195
2009,CENTRE,PA,87503.5041526625
2009,CHESTER,PA,1361469.6168921757
2009,CLARION,PA,26660.268294265497
2009,CLEARFIELD,PA,110462.9512987995
2009,CLINTON,PA,44449.839726777
2009,COLUMBIA,PA,59933.785232322
2009,CRAWFORD,PA,149931.4241964605
2009,CUMBERLAND,PA,15547510.710967815
2009,DAUPHIN,PA,314312.6786089095
2009,DELAWARE,PA,1038961.517266018
2009,ELK,PA,43395.45461786
2009,ERIE,PA,351057.2607003315
2009,FAYETTE,PA,328771.93110547797
2009,FOREST,PA,3733.5515911509997
2009,FRANKLIN,PA,114694.0527890845
2009,FULTON,PA,4126.3262467155
2009,GREENE,PA,25777.9069410765
2009,HUNTINGDON,PA,20738.797232391
2009,INDIANA,PA,131619.51658537975
2009,JEFFERSON,PA,35799.937240086
2009,JUNIATA,PA,25879.875548032
2009,LACKAWANNA,PA,288184.6867727012
2009,LANCASTER,PA,18346991.081436113
2009,LAWRENCE,PA,2773052.872236356
2009,LEBANON,PA,275537.679879702
2009,LEHIGH,PA,2428542.9082844914
2009,LUZERNE,PA,629062.384733035
2009,LYCOMING,PA,97676.51106925624
2009,MCKEAN,PA,48685.254342976
2009,MERCER,PA,182442.233001608
2009,MIFFLIN,PA,43354.2444254445
2009,MONROE,PA,191158.728318245
2009,MONTGOMERY,PA,11544669.6898693
2009,MONTOUR,PA,35884.238380051
2009,NORTHAMPTON,PA,3695394.86956299
2009,NORTHUMBERLAND,PA,101472.79822470625
2009,PERRY,PA,41788.707080682
2009,PHILADELPHIA,PA,18898543.250052575
2009,PIKE,PA,58125.572167460996
2009,POTTER,PA,13289.772064441999
2009,SCHUYLKILL,PA,140967.04684251398
2009,SNYDER,PA,25966.0341206765
2009,SOMERSET,PA,67316.029060488
2009,SULLIVAN,PA,2092.86035098775
2009,SUSQUEHANNA,PA,17342.941557113998
2009,TIOGA,PA,37444.975875451
2009,UNION,PA,234727.282169927
2009,VENANGO,PA,63710.0377209715
2009,WARREN,PA,31607.744515987
