year,BUYER_COUNTY,BUYER_STATE,strength
2006,BRISTOL,RI,24081.4175771585
2006,KENT,RI,11163957.772076556
2006,NEWPORT,RI,61829.181187281
2006,PROVIDENCE,RI,1650270.3339296437
2006,WASHINGTON,RI,102183.633536222
2007,BRISTOL,RI,28319.083917853248
2007,KENT,RI,15970688.804336537
2007,NEWPORT,RI,67451.0439650635
2007,PROVIDENCE,RI,1196958.7173188075
2007,WASHINGTON,RI,114720.689276468
2008,BRISTOL,RI,30589.919540200997
2008,KENT,RI,11676477.022164946
2008,NEWPORT,RI,77642.35992913274
2008,PROVIDENCE,RI,2292970.9754818454
2008,WASHINGTON,RI,127411.10594061925
2009,BRISTOL,RI,36603.1495078685
2009,KENT,RI,16275298.907786677
2009,NEWPORT,RI,76617.1150546705
2009,PROVIDENCE,RI,4093363.0328490674
2009,WASHINGTON,RI,140225.68582652876
2010,BRISTOL,RI,40729.8308505605
2010,KENT,RI,20940478.192414586
2010,NEWPORT,RI,84667.3117711775
2010,PROVIDENCE,RI,3224046.786281733
2010,WASHINGTON,RI,160701.4510952195
2011,BRISTOL,RI,42330.218451324
2011,KENT,RI,18105612.013175227
2011,NEWPORT,RI,92269.45081860099
2011,PROVIDENCE,RI,3034392.672435094
2011,WASHINGTON,RI,162012.0345428715
2012,BRISTOL,RI,46778.955332172496
2012,KENT,RI,18044727.541430615
2012,NEWPORT,RI,96902.2059493435
2012,PROVIDENCE,RI,2736764.8659055526
2012,WASHINGTON,RI,160537.014282294
2013,BRISTOL,RI,47412.9469389875
2013,KENT,RI,4800717.252634666
2013,NEWPORT,RI,96159.9123965425
2013,PROVIDENCE,RI,2264254.3970482666
2013,WASHINGTON,RI,165823.3555922605
2014,BRISTOL,RI,45681.691986466
2014,KENT,RI,13680055.467151152
2014,NEWPORT,RI,92830.674653233
2014,PROVIDENCE,RI,2928566.2853185358
2014,WASHINGTON,RI,174240.609900972
2015,BRISTOL,RI,43694.588566112
2015,KENT,RI,10929055.949364265
2015,NEWPORT,RI,95466.1105660104
2015,PROVIDENCE,RI,3380583.6083855247
2015,WASHINGTON,RI,175122.00130812
2016,BRISTOL,RI,44318.83575940075
2016,KENT,RI,17457442.279480375
2016,NEWPORT,RI,92714.9156484412
2016,PROVIDENCE,RI,3800836.889682503
2016,WASHINGTON,RI,188918.288171173
2017,BRISTOL,RI,42071.3620707815
2017,KENT,RI,26736876.87899297
2017,NEWPORT,RI,88404.74729139899
2017,PROVIDENCE,RI,3652505.750982917
2017,WASHINGTON,RI,174987.3983320472
2018,BRISTOL,RI,42334.049824773
2018,KENT,RI,26948801.318535753
2018,NEWPORT,RI,87072.1246725556
2018,PROVIDENCE,RI,3827570.306848587
2018,WASHINGTON,RI,174160.64880791408
2019,BRISTOL,RI,44590.942665026996
2019,KENT,RI,27313681.808235977
2019,NEWPORT,RI,93272.02130047399
2019,PROVIDENCE,RI,2919041.022130387
2019,WASHINGTON,RI,192956.3459910395
