year,BUYER_COUNTY,BUYER_STATE,strength
2006,ABBEVILLE,SC,6412.0182499975
2006,AIKEN,SC,77335.752205575
2006,ALLENDALE,SC,2866.1683888449998
2006,ANDERSON,SC,138670.66970409924
2006,BAMBERG,SC,7601.318496385999
2006,BARNWELL,SC,15920.674189121
2006,BEAUFORT,SC,86010.9826148484
2006,BERKELEY,SC,54897.54544045475
2006,CALHOUN,SC,4201.3146462625
2006,CHARLESTON,SC,438254.33884363296
2006,CHEROKEE,SC,37536.8086892732
2006,CHESTER,SC,8565.655219181
2006,CHESTERFIELD,SC,27679.263785738
2006,CLARENDON,SC,20229.7886680535
2006,COLLETON,SC,21319.01178928
2006,DARLINGTON,SC,62288.69079431175
2006,DILLON,SC,22428.06528536345
2006,DORCHESTER,SC,61094.587624789
2006,EDGEFIELD,SC,2371.9949520679997
2006,FAIRFIELD,SC,6948.798761204
2006,FLORENCE,SC,266330.485846254
2006,GEORGETOWN,SC,38751.79727570595
2006,GREENVILLE,SC,768027.1884024891
2006,GREENWOOD,SC,43622.240275327
2006,HAMPTON,SC,9564.34997899475
2006,HORRY,SC,277967.65556018957
2006,JASPER,SC,16932.95520661725
2006,KERSHAW,SC,23223.78208207435
2006,LANCASTER,SC,29331.022704447
2006,LAURENS,SC,31624.28415857075
2006,LEE,SC,4993.9565603575
2006,LEXINGTON,SC,175987.96179381825
2006,MARION,SC,21080.462032359148
2006,MARLBORO,SC,12309.13818463225
2006,MCCORMICK,SC,1342.8581728195
2006,NEWBERRY,SC,12404.7874128605
2006,OCONEE,SC,64435.1146413179
2006,ORANGEBURG,SC,53612.19199814425
2006,PICKENS,SC,81341.55342294775
2006,RICHLAND,SC,176902.6880449697
2006,SALUDA,SC,4557.5788438849995
2006,SPARTANBURG,SC,2444363.4616250307
2006,SUMTER,SC,35908.3431229695
2006,UNION,SC,20098.7477756805
2006,WILLIAMSBURG,SC,10811.27845559575
2006,YORK,SC,67047.02563868464
2007,ABBEVILLE,SC,6372.539556981
2007,AIKEN,SC,90166.7470154467
2007,ALLENDALE,SC,2367.821564366
2007,ANDERSON,SC,239196.05562831034
2007,BAMBERG,SC,8617.23552741475
2007,BARNWELL,SC,19224.597836421
2007,BEAUFORT,SC,92010.07211195974
2007,BERKELEY,SC,65761.9920565537
2007,CALHOUN,SC,4211.507082177
2007,CHARLESTON,SC,556035.6223494451
2007,CHEROKEE,SC,40569.663687305
2007,CHESTER,SC,10600.766295362
2007,CHESTERFIELD,SC,32618.064836637
2007,CLARENDON,SC,20736.924007389498
2007,COLLETON,SC,23093.6700609271
2007,DARLINGTON,SC,72332.311710197
2007,DILLON,SC,25372.87919373025
2007,DORCHESTER,SC,77406.13819324775
2007,EDGEFIELD,SC,2564.8244009985
2007,FAIRFIELD,SC,7781.270173589
2007,FLORENCE,SC,274997.5627615611
2007,GEORGETOWN,SC,51813.4998553338
2007,GREENVILLE,SC,805312.0609467059
2007,GREENWOOD,SC,47492.55314974775
2007,HAMPTON,SC,10668.09043854025
2007,HORRY,SC,311291.84653412906
2007,JASPER,SC,25642.572964813
2007,KERSHAW,SC,28171.827155796498
2007,LANCASTER,SC,34052.7670261
2007,LAURENS,SC,31273.02665674525
2007,LEE,SC,5545.161123366
2007,LEXINGTON,SC,195174.04083500535
2007,MARION,SC,22115.781522562498
2007,MARLBORO,SC,14741.54811127325
2007,MCCORMICK,SC,1305.285102117
2007,NEWBERRY,SC,14568.4451539615
2007,OCONEE,SC,70453.7770695019
2007,ORANGEBURG,SC,52182.8146289295
2007,PICKENS,SC,90020.079507188
2007,RICHLAND,SC,179241.1049616051
2007,SALUDA,SC,4111.60018216605
2007,SPARTANBURG,SC,3071328.3096698946
2007,SUMTER,SC,38270.486793354
2007,UNION,SC,21752.90666985975
2007,WILLIAMSBURG,SC,12477.9166217625
2007,YORK,SC,81777.23843423725
2008,ABBEVILLE,SC,5896.34660612
2008,AIKEN,SC,96707.3565676235
2008,ALLENDALE,SC,5149.200370505
2008,ANDERSON,SC,616629.3284230722
2008,BAMBERG,SC,8988.382363079
2008,BARNWELL,SC,19091.545447256998
2008,BEAUFORT,SC,101183.6266671187
2008,BERKELEY,SC,77753.69264498795
2008,CALHOUN,SC,4078.6721447187497
2008,CHARLESTON,SC,652964.0714899068
2008,CHEROKEE,SC,40703.568308342146
2008,CHESTER,SC,11341.157179505999
2008,CHESTERFIELD,SC,30791.07126775525
2008,CLARENDON,SC,26275.857145893
2008,COLLETON,SC,24659.7962040391
2008,DARLINGTON,SC,76887.99621948844
2008,DILLON,SC,23752.08042763975
2008,DORCHESTER,SC,82936.52347708175
2008,EDGEFIELD,SC,3643.14371896075
2008,FAIRFIELD,SC,8809.872293377999
2008,FLORENCE,SC,300851.7072158565
2008,GEORGETOWN,SC,61258.94105066275
2008,GREENVILLE,SC,851197.5456162582
2008,GREENWOOD,SC,51723.39623394425
2008,HAMPTON,SC,10994.911873721
2008,HORRY,SC,328320.95486265747
2008,JASPER,SC,23289.863572912
2008,KERSHAW,SC,30586.83580051675
2008,LANCASTER,SC,39193.324853877
2008,LAURENS,SC,34791.4248526155
2008,LEE,SC,6136.004085675
2008,LEXINGTON,SC,220469.70926856654
2008,MARION,SC,21755.76206688175
2008,MARLBORO,SC,16056.55492069025
2008,MCCORMICK,SC,1409.448197067
2008,NEWBERRY,SC,17393.5397919315
2008,OCONEE,SC,77736.248442989
2008,ORANGEBURG,SC,55925.24684264925
2008,PICKENS,SC,97692.24367227026
2008,RICHLAND,SC,200286.43983706346
2008,SALUDA,SC,5198.03105022
2008,SPARTANBURG,SC,3742363.73293904
2008,SUMTER,SC,42080.7972579437
2008,UNION,SC,22659.483139797998
2008,WILLIAMSBURG,SC,13330.61110235875
2008,YORK,SC,82403.7595886475
2009,ABBEVILLE,SC,6909.751370606
2009,AIKEN,SC,107943.375283185
2009,ALLENDALE,SC,3166.444091777
2009,ANDERSON,SC,1027387.0252058692
2009,BAMBERG,SC,9937.043192223
2009,BARNWELL,SC,20499.68488301525
2009,BEAUFORT,SC,107730.95444607749
2009,BERKELEY,SC,92052.280139999
2009,CALHOUN,SC,4506.164477443
2009,CHARLESTON,SC,944734.697955587
2009,CHEROKEE,SC,44890.48716193075
2009,CHESTER,SC,13175.3935495425
2009,CHESTERFIELD,SC,32912.98549259725
2009,CLARENDON,SC,21673.9221518115
2009,COLLETON,SC,26271.304149726
2009,DARLINGTON,SC,80703.237342243
2009,DILLON,SC,26283.316894888
2009,DORCHESTER,SC,93939.8596168465
2009,EDGEFIELD,SC,3936.497486744
2009,FAIRFIELD,SC,10651.943388508
2009,FLORENCE,SC,281700.33794922975
2009,GEORGETOWN,SC,66139.3424966485
2009,GREENVILLE,SC,1026945.4307511435
2009,GREENWOOD,SC,58929.968368689995
2009,HAMPTON,SC,11390.439752639
2009,HORRY,SC,380770.26144496724
2009,JASPER,SC,20409.46918207
2009,KERSHAW,SC,34510.87908846
2009,LANCASTER,SC,44200.53406889425
2009,LAURENS,SC,38128.11266220575
2009,LEE,SC,6020.210603011
2009,LEXINGTON,SC,214031.836927975
2009,MARION,SC,24690.6493462632
2009,MARLBORO,SC,16674.2780603335
2009,MCCORMICK,SC,1553.221166527
