year,BUYER_COUNTY,BUYER_STATE,strength
2006,ANDERSON,TX,39797.64965685095
2006,ANDREWS,TX,3308.83330350125
2006,ANGELINA,TX,45599.28424063675
2006,ARANSAS,TX,11036.1838818495
2006,ARCHER,TX,0.6090475
2006,ARMSTRONG,TX,78.56580396
2006,ATASCOSA,TX,12766.141988128249
2006,AUSTIN,TX,6612.769336529
2006,BAILEY,TX,1310.808033952
2006,BANDERA,TX,5222.642668732
2006,BASTROP,TX,21341.89305695925
2006,BAYLOR,TX,1885.1966812599999
2006,BEE,TX,9514.935801501
2006,BELL,TX,85080.0058397724
2006,BEXAR,TX,1340720.0310923385
2006,BLANCO,TX,1983.7402119869998
2006,BOSQUE,TX,6716.04080877275
2006,BOWIE,TX,35830.17261122425
2006,BRAZORIA,TX,96910.5462929626
2006,BRAZOS,TX,33968.0443167329
2006,BREWSTER,TX,4564.72119825825
2006,BROOKS,TX,1004.3364154889999
2006,BROWN,TX,30597.75643247285
2006,BURLESON,TX,2380.278818196
2006,BURNET,TX,19579.1197980959
2006,CALDWELL,TX,5189.7216866375
2006,CALHOUN,TX,9660.514505979
2006,CALLAHAN,TX,1357.22782711525
2006,CAMERON,TX,47700.273369219496
2006,CAMP,TX,2537.35601062425
2006,CARSON,TX,372.12264951599997
2006,CASS,TX,15514.47403701425
2006,CASTRO,TX,841.48501124075
2006,CHAMBERS,TX,158680.17019098316
2006,CHEROKEE,TX,17478.2294867151
2006,CHILDRESS,TX,5737.970800553
2006,CLAY,TX,3941.195715978
2006,COCHRAN,TX,174.975768746
2006,COLEMAN,TX,2537.983979735
2006,COLLIN,TX,216466.97731426434
2006,COLLINGSWORTH,TX,642.860869188
2006,COLORADO,TX,4155.6444429636995
2006,COMAL,TX,41519.06170641075
2006,COMANCHE,TX,14801.52513093125
2006,CONCHO,TX,1.1680696
2006,COOKE,TX,16414.388305621498
2006,CORYELL,TX,10051.574033956
2006,CRANE,TX,468.3130871015
2006,CROCKETT,TX,425.19232234
2006,CROSBY,TX,1707.259141849
2006,CULBERSON,TX,31.1095083764
2006,DALLAM,TX,2252.687710976
2006,DALLAS,TX,1509970.2552288075
2006,DAWSON,TX,1610.7438886181
2006,DE WITT,TX,9354.079382378
2006,DEAF SMITH,TX,2660.8058781649997
