year,BUYER_COUNTY,BUYER_STATE,strength
2006,SAINT CROIX,VI,6402.2962847025
2006,SAINT JOHN,VI,389.56059103399997
2006,SAINT THOMAS,VI,5417.775491623
2007,SAINT CROIX,VI,7617.8560695455
2007,SAINT JOHN,VI,545.740473446
2007,SAINT THOMAS,VI,6337.239974764
2008,SAINT CROIX,VI,7652.045161854
2008,SAINT JOHN,VI,648.568879836
2008,SAINT THOMAS,VI,6671.7403001739995
2009,SAINT CROIX,VI,7368.3933000225
2009,SAINT JOHN,VI,656.4785606099999
2009,SAINT THOMAS,VI,6819.599386417
2010,SAINT CROIX,VI,9573.685589674
2010,SAINT JOHN,VI,307.362792555
2010,SAINT THOMAS,VI,5758.5482321439995
2011,SAINT CROIX,VI,11451.409429319
2011,SAINT JOHN,VI,447.841912311
2011,SAINT THOMAS,VI,7494.68020023725
2012,SAINT CROIX,VI,9796.438935824
2012,SAINT JOHN,VI,640.489813083
2012,SAINT THOMAS,VI,5969.3431845165
2013,SAINT CROIX,VI,10111.289207923
2013,SAINT JOHN,VI,535.369288691
2013,SAINT THOMAS,VI,6503.187673666
2014,SAINT CROIX,VI,8115.9526551265
2014,SAINT JOHN,VI,677.19171301
2014,SAINT THOMAS,VI,6295.684607280999
2015,SAINT CROIX,VI,7751.640296557
2015,SAINT JOHN,VI,896.990138841
2015,SAINT THOMAS,VI,6644.382626691
2016,SAINT CROIX,VI,5306.541872277
2016,SAINT JOHN,VI,598.1622844999999
2016,SAINT THOMAS,VI,6907.990713212
2017,SAINT CROIX,VI,7437.848559352
2017,SAINT JOHN,VI,289.5558225
2017,SAINT THOMAS,VI,4609.0007086
2018,SAINT CROIX,VI,7958.277387272
2018,SAINT JOHN,VI,240.49219499999992
2018,SAINT THOMAS,VI,4305.664475040999
2019,SAINT CROIX,VI,3667.141212332999
2019,SAINT JOHN,VI,199.54875799999996
2019,SAINT THOMAS,VI,4410.335332849999
