year,BUYER_COUNTY,BUYER_STATE,strength
2006,ADDISON,VT,21246.283847477498
2006,BENNINGTON,VT,33149.1499219982
2006,CALEDONIA,VT,35109.767058244
2006,CHITTENDEN,VT,376634.43060604867
2006,ESSEX,VT,86.58101
2006,FRANKLIN,VT,52725012.13580427
2006,GRAND ISLE,VT,1011.0980625469999
2006,LAMOILLE,VT,20954.519817483
2006,ORANGE,VT,13782.4868726035
2006,ORLEANS,VT,29755.7808694465
2006,RUTLAND,VT,79358.45753411899
2006,WASHINGTON,VT,70265.4967516247
2006,WINDHAM,VT,57474.8611906855
2006,WINDSOR,VT,66200.0608917685
2007,ADDISON,VT,23295.826637577
2007,BENNINGTON,VT,39849.722633758
2007,CALEDONIA,VT,38098.42091656
2007,CHITTENDEN,VT,439816.9343746811
2007,ESSEX,VT,54.105158
2007,FRANKLIN,VT,59364299.31555391
2007,GRAND ISLE,VT,970.3199420039999
2007,LAMOILLE,VT,24463.961756356
2007,ORANGE,VT,13720.1473577275
2007,ORLEANS,VT,31831.644094629
2007,RUTLAND,VT,101664.16309695049
2007,WASHINGTON,VT,87082.15935544169
2007,WINDHAM,VT,77776.63884408849
2007,WINDSOR,VT,81358.2172381935
2008,ADDISON,VT,25178.585621311
2008,BENNINGTON,VT,44883.339608660746
2008,CALEDONIA,VT,37235.248613826996
2008,CHITTENDEN,VT,762097.3649751759
2008,ESSEX,VT,70.751436
2008,FRANKLIN,VT,74597491.2466676
2008,GRAND ISLE,VT,1453.90922923
2008,LAMOILLE,VT,29855.149230409
2008,ORANGE,VT,15273.518965322999
2008,ORLEANS,VT,31630.8385485935
2008,RUTLAND,VT,116660.2164471185
2008,WASHINGTON,VT,95131.0898292611
2008,WINDHAM,VT,89565.4133364695
2008,WINDSOR,VT,88897.370245458
2009,ADDISON,VT,28784.241404046
2009,BENNINGTON,VT,50197.454900806
2009,CALEDONIA,VT,43195.257709166995
2009,CHITTENDEN,VT,580105.3731225134
2009,ESSEX,VT,44.50553
2009,FRANKLIN,VT,63635535.256571405
2009,GRAND ISLE,VT,2078.844643356
2009,LAMOILLE,VT,32983.2427853105
2009,ORANGE,VT,16475.138840913998
2009,ORLEANS,VT,35847.966311627
2009,RUTLAND,VT,127076.9386346845
2009,WASHINGTON,VT,97197.6463658005
2009,WINDHAM,VT,87690.462848293
2009,WINDSOR,VT,95697.49880513425
2010,ADDISON,VT,30608.420813636
2010,BENNINGTON,VT,49332.996236207495
2010,CALEDONIA,VT,47608.67146218
2010,CHITTENDEN,VT,562503.1864082635
2010,ESSEX,VT,38.6094025
2010,FRANKLIN,VT,58095963.41363426
2010,GRAND ISLE,VT,1738.1528472339999
2010,LAMOILLE,VT,32488.820616511
2010,ORANGE,VT,18481.85626707
2010,ORLEANS,VT,39133.806816258
2010,RUTLAND,VT,131830.1799341365
2010,WASHINGTON,VT,98992.1880596985
2010,WINDHAM,VT,89532.453718852
2010,WINDSOR,VT,108461.86985532775
2011,ADDISON,VT,28662.130363935998
2011,BENNINGTON,VT,48357.8443993075
2011,CALEDONIA,VT,49805.972138872
2011,CHITTENDEN,VT,594029.430146701
2011,ESSEX,VT,33.05751
2011,FRANKLIN,VT,65553991.31235465
2011,GRAND ISLE,VT,1651.971231684
2011,LAMOILLE,VT,31295.992170268997
2011,ORANGE,VT,17796.261615814998
2011,ORLEANS,VT,39827.394945633
2011,RUTLAND,VT,112639.99313142999
2011,WASHINGTON,VT,97269.665524246
2011,WINDHAM,VT,78696.530887243
2011,WINDSOR,VT,138081.1561177015
2012,ADDISON,VT,25839.633345257498
2012,BENNINGTON,VT,50172.278087178995
2012,CALEDONIA,VT,50624.722961334
2012,CHITTENDEN,VT,637628.932394507
2012,ESSEX,VT,47.826545
2012,FRANKLIN,VT,55762265.64363032
2012,GRAND ISLE,VT,3611.632691984
2012,LAMOILLE,VT,34245.5052651835
2012,ORANGE,VT,19766.44715344
2012,ORLEANS,VT,43720.195953124
2012,RUTLAND,VT,112121.6373716
2012,WASHINGTON,VT,99724.2358040315
2012,WINDHAM,VT,75998.92383129049
