year,BUYER_COUNTY,BUYER_STATE,strength
2006,ADAMS,WA,10262.910947925
2006,ASOTIN,WA,24847.3940702115
2006,BENTON,WA,143885.738214099
2006,CHELAN,WA,67892.4595527165
2006,CLALLAM,WA,119452.1893989525
2006,CLARK,WA,361463.0611392337
2006,COLUMBIA,WA,2902.718299198
2006,COWLITZ,WA,146476.831086799
2006,DOUGLAS,WA,18489.8524916665
2006,FERRY,WA,4273.39542705
2006,FRANKLIN,WA,33629.980052424
2006,GARFIELD,WA,2337.491318736
2006,GRANT,WA,90930.9903444885
2006,GRAYS HARBOR,WA,80988.895191167
2006,ISLAND,WA,48176.625337238496
2006,JEFFERSON,WA,18013.5521620055
2006,KING,WA,5406311.3754663905
2006,KITSAP,WA,192526.02260704
2006,KITTITAS,WA,22436.0372722265
2006,KLICKITAT,WA,5658.461399136
2006,LEWIS,WA,73324.3221300359
2006,LINCOLN,WA,6196.762175266
2006,MASON,WA,38361.796062203
2006,OKANOGAN,WA,45581.1320739245
2006,PACIFIC,WA,24471.5852614615
2006,PEND OREILLE,WA,21163.691898265
2006,PIERCE,WA,741652.3353800984
2006,SAN JUAN,WA,6149.0130388235
2006,SKAGIT,WA,76462.6818025325
2006,SKAMANIA,WA,6758.6640287459995
2006,SNOHOMISH,WA,2897294.627049301
2006,SPOKANE,WA,728890.6278671329
2006,STEVENS,WA,59205.375510421
2006,THURSTON,WA,186336.1804835966
2006,WAHKIAKUM,WA,1954.283472054
2006,WALLA WALLA,WA,56784.204254256
2006,WHATCOM,WA,135537.3093410845
2006,WHITMAN,WA,18008.2425588945
2006,YAKIMA,WA,144352.3630338771
2007,ADAMS,WA,10850.359290815999
2007,ASOTIN,WA,25933.771637359998
2007,BENTON,WA,142192.29066894724
2007,CHELAN,WA,72811.562935145
2007,CLALLAM,WA,139599.692720649
2007,CLARK,WA,473365.03211637336
2007,COLUMBIA,WA,2970.8138312
2007,COWLITZ,WA,169395.83914834275
2007,DOUGLAS,WA,19558.7108029245
2007,FERRY,WA,6017.879499858
2007,FRANKLIN,WA,36410.408837578696
2007,GARFIELD,WA,2711.032843339
2007,GRANT,WA,98273.051873157
2007,GRAYS HARBOR,WA,91908.5383912985
2007,ISLAND,WA,47238.2145288525
2007,JEFFERSON,WA,22029.1829859535
2007,KING,WA,5757389.966576419
2007,KITSAP,WA,236512.49361592066
2007,KITTITAS,WA,21142.790539992
2007,KLICKITAT,WA,6578.125064828
2007,LEWIS,WA,86647.36590513225
2007,LINCOLN,WA,7840.841954679
2007,MASON,WA,43921.2360926635
2007,OKANOGAN,WA,50914.937698092
2007,PACIFIC,WA,38537.9528210095
2007,PEND OREILLE,WA,24076.853171486
2007,PIERCE,WA,845984.7023440703
2007,SAN JUAN,WA,7988.036222846999
2007,SKAGIT,WA,93782.516668386
2007,SKAMANIA,WA,7233.070569097
2007,SNOHOMISH,WA,3245681.5997947347
2007,SPOKANE,WA,691972.415018958
2007,STEVENS,WA,61226.192970509
2007,THURSTON,WA,202812.0035201651
2007,WAHKIAKUM,WA,2248.575393274
2007,WALLA WALLA,WA,67439.88523174975
2007,WHATCOM,WA,169785.99639129548
2007,WHITMAN,WA,21548.249716365
2007,YAKIMA,WA,157816.75662065975
2008,ADAMS,WA,11330.656606049999
2008,ASOTIN,WA,27319.617474414
2008,BENTON,WA,150645.86461056976
2008,CHELAN,WA,67775.712574507
2008,CLALLAM,WA,137289.966684057
2008,CLARK,WA,623762.9505349265
2008,COLUMBIA,WA,2641.9802432339998
2008,COWLITZ,WA,174497.0683583385
2008,DOUGLAS,WA,19297.6165283125
2008,FERRY,WA,6648.991803397
2008,FRANKLIN,WA,38740.530803713
2008,GARFIELD,WA,2411.178279967
2008,GRANT,WA,85444.946745807
2008,GRAYS HARBOR,WA,101551.193383618
2008,ISLAND,WA,47032.412338515496
2008,JEFFERSON,WA,25818.57452301
2008,KING,WA,4225238.323541329
2008,KITSAP,WA,228284.4483021045
2008,KITTITAS,WA,22151.475351251498
2008,KLICKITAT,WA,7096.693099032
2008,LEWIS,WA,95796.30252920574
2008,LINCOLN,WA,7726.307888165999
2008,MASON,WA,48498.181265801
2008,OKANOGAN,WA,47361.9133469475
2008,PACIFIC,WA,31368.59865689195
2008,PEND OREILLE,WA,21540.331368507
2008,PIERCE,WA,837874.9867771599
2008,SAN JUAN,WA,10997.2174858845
2008,SKAGIT,WA,100809.055061509
2008,SKAMANIA,WA,8010.559961276
2008,SNOHOMISH,WA,3335353.945669691
2008,SPOKANE,WA,625094.1790557
2008,STEVENS,WA,60586.4731266515
2008,THURSTON,WA,213950.97066419534
2008,WAHKIAKUM,WA,2113.017990976
2008,WALLA WALLA,WA,68563.34083535925
2008,WHATCOM,WA,177373.4776262285
2008,WHITMAN,WA,21910.399473581998
2008,YAKIMA,WA,159719.96770821104
2009,ADAMS,WA,12132.584928455999
2009,ASOTIN,WA,30779.389982705998
2009,BENTON,WA,163059.201994298
2009,CHELAN,WA,68868.749229838
2009,CLALLAM,WA,151890.7181027835
2009,CLARK,WA,539515.6324333363
2009,COLUMBIA,WA,2710.934131231
2009,COWLITZ,WA,190915.08705490924
2009,DOUGLAS,WA,20750.472777244
2009,FERRY,WA,6782.1909120695
2009,FRANKLIN,WA,40824.552276069
2009,GARFIELD,WA,2180.49506884
2009,GRANT,WA,86856.05538076849
2009,GRAYS HARBOR,WA,98588.37290254999
2009,ISLAND,WA,46101.8588363315
2009,JEFFERSON,WA,27668.417691077
2009,KING,WA,6296342.519617431
2009,KITSAP,WA,248063.0452351945
2009,KITTITAS,WA,23092.8115984865
2009,KLICKITAT,WA,7548.4935895769995
2009,LEWIS,WA,99673.4054359026
2009,LINCOLN,WA,8994.912158645
2009,MASON,WA,54069.7416270675
2009,OKANOGAN,WA,51813.389114629
2009,PACIFIC,WA,37778.817173336
2009,PEND OREILLE,WA,20935.399225213998
2009,PIERCE,WA,866176.325396804
2009,SAN JUAN,WA,13238.232743245
2009,SKAGIT,WA,109243.700564291
2009,SKAMANIA,WA,8878.525428567
2009,SNOHOMISH,WA,3290039.804866816
2009,SPOKANE,WA,641729.358233285
2009,STEVENS,WA,60910.857742391
2009,THURSTON,WA,219609.02653395198
2009,WAHKIAKUM,WA,2090.36179999
2009,WALLA WALLA,WA,70032.70512130849
2009,WHATCOM,WA,183677.2856214155
2009,WHITMAN,WA,23649.282980281998
2009,YAKIMA,WA,180606.98358076898
2010,ADAMS,WA,12245.537069272
2010,ASOTIN,WA,38828.80987532
2010,BENTON,WA,171826.783310581
2010,CHELAN,WA,69184.8955161245
2010,CLALLAM,WA,152112.98219581
2010,CLARK,WA,520277.356416367
2010,COLUMBIA,WA,2908.94910794
2010,COWLITZ,WA,181382.4962465895
2010,DOUGLAS,WA,23872.948108602
2010,FERRY,WA,7116.826568267999
2010,FRANKLIN,WA,40673.72867920425
2010,GARFIELD,WA,2165.771450882
2010,GRANT,WA,85207.5381310685
2010,GRAYS HARBOR,WA,98899.373288911
2010,ISLAND,WA,47924.530250366
