year,BUYER_COUNTY,BUYER_STATE,strength
2006,ADAMS,WI,7334.9279002289995
2006,ASHLAND,WI,13370.613094979
2006,BARRON,WI,17112.1488523405
2006,BAYFIELD,WI,2766.13893172
2006,BROWN,WI,114781.54301796094
2006,BUFFALO,WI,1767.710418245
2006,BURNETT,WI,7712.2185184869995
2006,CALUMET,WI,4776.981500702
2006,CHIPPEWA,WI,33217.06123062475
2006,CLARK,WI,6714.2447984105
2006,COLUMBIA,WI,46187.284747239246
2006,CRAWFORD,WI,7885.255184154999
2006,DANE,WI,1245215.2897308038
2006,DODGE,WI,38692.0240684925
2006,DOOR,WI,13564.420128828
2006,DOUGLAS,WI,23965.297257435
2006,DUNN,WI,13278.504316885499
2006,EAU CLAIRE,WI,64612.4411005745
2006,FOND DU LAC,WI,54954.01399249675
2006,FOREST,WI,2482.1859738505
2006,GRANT,WI,13398.8720556925
2006,GREEN,WI,17759.616035216
2006,GREEN LAKE,WI,10526.335121036
2006,IOWA,WI,8903.286386749
2006,IRON,WI,4852.0951072
2006,JACKSON,WI,8940.223645267
2006,JEFFERSON,WI,33159.92378456625
2006,JUNEAU,WI,27756.85610221
2006,KENOSHA,WI,91502.5384999925
2006,KEWAUNEE,WI,5732.763595332
2006,LA CROSSE,WI,1045747.2869173985
2006,LAFAYETTE,WI,1952.0976915449999
2006,LANGLADE,WI,13954.2834295495
2006,LINCOLN,WI,11968.3537247995
2006,MANITOWOC,WI,59738.4474151822
2006,MARATHON,WI,57236.5339273775
2006,MARINETTE,WI,32351.7164945
2006,MARQUETTE,WI,5392.071231061
2006,MENOMINEE,WI,1103.76004
2006,MILWAUKEE,WI,5221088.066333337
2006,MONROE,WI,26603.22404636555
2006,OCONTO,WI,9382.7099099125
2006,ONEIDA,WI,38777.053333905
2006,OUTAGAMIE,WI,119333.4066229663
2006,OZAUKEE,WI,62555.3225278337
2006,PEPIN,WI,2766.3656247999998
2006,PIERCE,WI,11699.7090880685
2006,POLK,WI,18881.188998022
2006,PORTAGE,WI,20538.7272215485
2006,PRICE,WI,9094.4305779095
2006,RACINE,WI,152198.72056200044
2006,RICHLAND,WI,10540.918221312
2006,ROCK,WI,108295.4371786745
2006,RUSK,WI,5846.834859334
2006,SAINT CROIX,WI,739383.8933789264
2006,SAUK,WI,48539.00192714725
2006,SAWYER,WI,11383.709573866
2006,SHAWANO,WI,19686.72204247
2006,SHEBOYGAN,WI,63896.359526345
2006,TAYLOR,WI,5423.756725458
2006,TREMPEALEAU,WI,11425.108496011
2006,VERNON,WI,13167.598080595
2006,VILAS,WI,15527.4204727715
2006,WALWORTH,WI,37828.632285312
2006,WASHBURN,WI,9774.914902445
2006,WASHINGTON,WI,322074.58816887066
2006,WAUKESHA,WI,4105986.502926582
2006,WAUPACA,WI,30636.6275807127
2006,WAUSHARA,WI,7430.558943473
2006,WINNEBAGO,WI,68370.3423801023
2006,WOOD,WI,36405.231820968496
2007,ADAMS,WI,8835.50154669
2007,ASHLAND,WI,14764.3914290375
2007,BARRON,WI,22136.857451173
2007,BAYFIELD,WI,3069.346210442
2007,BROWN,WI,131381.38740286755
2007,BUFFALO,WI,1486.292909748
2007,BURNETT,WI,8827.921188299
2007,CALUMET,WI,4445.860967041
2007,CHIPPEWA,WI,41059.374320793
2007,CLARK,WI,7325.8632952555
2007,COLUMBIA,WI,57291.800942868
2007,CRAWFORD,WI,9159.8524376265
2007,DANE,WI,1306425.794924985
2007,DODGE,WI,47048.593319658496
2007,DOOR,WI,14722.965377686
2007,DOUGLAS,WI,26249.445485465
2007,DUNN,WI,16165.80696026775
2007,EAU CLAIRE,WI,66395.4923975235
2007,FOND DU LAC,WI,58949.58623844635
2007,FOREST,WI,2894.560269522
2007,GRANT,WI,14429.261901528
2007,GREEN,WI,21084.8095925465
2007,GREEN LAKE,WI,11932.757500484
2007,IOWA,WI,10288.539042027
2007,IRON,WI,5497.3066214539995
2007,JACKSON,WI,11274.7702335095
2007,JEFFERSON,WI,39914.5911695265
2007,JUNEAU,WI,32396.459737618497
2007,KENOSHA,WI,97226.65590423594
2007,KEWAUNEE,WI,5304.3748621195
2007,LA CROSSE,WI,1093950.2027801292
2007,LAFAYETTE,WI,2249.753111639
2007,LANGLADE,WI,14222.900122755
2007,LINCOLN,WI,13690.157537574749
2007,MANITOWOC,WI,63659.0562968019
2007,MARATHON,WI,67382.80770230264
2007,MARINETTE,WI,31420.8765329715
2007,MARQUETTE,WI,5489.014511857
2007,MENOMINEE,WI,1211.66154525
2007,MILWAUKEE,WI,1924513.2002587118
2007,MONROE,WI,31393.85946484875
2007,OCONTO,WI,11212.7958818075
2007,ONEIDA,WI,41994.21827260725
2007,OUTAGAMIE,WI,115215.36692371749
2007,OZAUKEE,WI,207160.5715816642
2007,PEPIN,WI,2631.350102498
2007,PIERCE,WI,14431.5847355155
2007,POLK,WI,20446.460694076
2007,PORTAGE,WI,26700.144650981998
2007,PRICE,WI,11469.906002411499
2007,RACINE,WI,154702.114192946
2007,RICHLAND,WI,13155.161637513
2007,ROCK,WI,132790.691523537
2007,RUSK,WI,7310.0446269355
2007,SAINT CROIX,WI,883708.2382453398
2007,SAUK,WI,56026.64403016275
2007,SAWYER,WI,11650.836775058
2007,SHAWANO,WI,21375.450558684
2007,SHEBOYGAN,WI,71313.767477542
2007,TAYLOR,WI,6371.9867126379995
2007,TREMPEALEAU,WI,14080.470526392
2007,VERNON,WI,11755.542754769
2007,VILAS,WI,17887.2496553865
2007,WALWORTH,WI,46070.506660404746
2007,WASHBURN,WI,10674.9518311555
2007,WASHINGTON,WI,82940.0132742635
2007,WAUKESHA,WI,615248.173446375
2007,WAUPACA,WI,36988.9831480645
2007,WAUSHARA,WI,8588.830784603
2007,WINNEBAGO,WI,80548.88124166975
2007,WOOD,WI,40885.43101327
2008,ADAMS,WI,9555.350033839
2008,ASHLAND,WI,15316.837215013
2008,BARRON,WI,23798.05166197275
2008,BAYFIELD,WI,3073.232148469
2008,BROWN,WI,496842.2569228825
2008,BUFFALO,WI,2162.841887195
2008,BURNETT,WI,9628.44386457
2008,CALUMET,WI,5215.414078517
2008,CHIPPEWA,WI,47033.6455242335
2008,CLARK,WI,7272.412270581
2008,COLUMBIA,WI,65844.85089220575
2008,CRAWFORD,WI,10740.5387237215
2008,DANE,WI,1739017.117729395
2008,DODGE,WI,47944.68681387225
2008,DOOR,WI,15763.7898906125
2008,DOUGLAS,WI,32387.777133560998
2008,DUNN,WI,16077.63744313725
2008,EAU CLAIRE,WI,68403.4958563525
2008,FOND DU LAC,WI,60005.2554428162
2008,FOREST,WI,2976.3810770044997
2008,GRANT,WI,15563.695356182
2008,GREEN,WI,22331.8246731345
2008,GREEN LAKE,WI,13168.1494987105
2008,IOWA,WI,11866.755464497
2008,IRON,WI,4841.788616705
2008,JACKSON,WI,12905.635531009999
2008,JEFFERSON,WI,47096.64698168
2008,JUNEAU,WI,36622.8548358115
2008,KENOSHA,WI,104839.38529368375
2008,KEWAUNEE,WI,4719.7997890695
2008,LA CROSSE,WI,1228693.6809119007
2008,LAFAYETTE,WI,2369.641058115
2008,LANGLADE,WI,17068.320603715998
2008,LINCOLN,WI,15338.176802450249
2008,MANITOWOC,WI,68978.176376569
2008,MARATHON,WI,74215.782290786
2008,MARINETTE,WI,32460.0527628885
2008,MARQUETTE,WI,5020.733405168
2008,MENOMINEE,WI,1055.4817011979999
2008,MILWAUKEE,WI,3785503.83496255
2008,MONROE,WI,34730.701645772
2008,OCONTO,WI,12609.53602663
2008,ONEIDA,WI,44655.762878588495
