year,BUYER_COUNTY,BUYER_STATE,strength
2006,BARBOUR,WV,7650.785995273
2006,BERKELEY,WV,147457.52040271575
2006,BOONE,WV,23182.202476241
2006,BRAXTON,WV,13611.450624535999
2006,BROOKE,WV,21825.3342260395
2006,CABELL,WV,307031.14030591527
2006,CALHOUN,WV,1677.1881038459999
2006,CLAY,WV,2801.8085877519998
2006,DODDRIDGE,WV,1862.852750651
2006,FAYETTE,WV,26023.381842871
2006,GILMER,WV,3355.9015283145
2006,GRANT,WV,6789.134061008
2006,GREENBRIER,WV,44920.302627721
2006,HAMPSHIRE,WV,13038.771395157999
2006,HANCOCK,WV,65291.084803759
2006,HARDY,WV,6615.206964337
2006,HARRISON,WV,103496.178025082
2006,JACKSON,WV,14902.3884363325
2006,JEFFERSON,WV,39213.416665392
2006,KANAWHA,WV,287296.3229459385
2006,LEWIS,WV,11946.465548363
2006,LINCOLN,WV,7177.22972004
2006,LOGAN,WV,55437.9632508742
2006,MARION,WV,29008.38227425075
2006,MARSHALL,WV,29342.756620048
2006,MASON,WV,22116.437898047
2006,MCDOWELL,WV,27833.014529022
2006,MERCER,WV,56294.03598424745
2006,MINERAL,WV,18125.2168927235
2006,MINGO,WV,114596.97295436151
2006,MONONGALIA,WV,3432361.939443882
2006,MONROE,WV,7008.097429317
2006,MORGAN,WV,11688.567194221
2006,NICHOLAS,WV,26954.822359602
2006,OHIO,WV,2952772.174616193
2006,PENDLETON,WV,4340.943210231
2006,PLEASANTS,WV,4133.404784053
2006,POCAHONTAS,WV,12918.437307163
2006,PRESTON,WV,10439.32886022
2006,PUTNAM,WV,29328.74703552825
2006,RALEIGH,WV,178474.9629420265
2006,RANDOLPH,WV,23882.7324824355
2006,RITCHIE,WV,2928.335755764
2006,ROANE,WV,14423.703485304
2006,SUMMERS,WV,6058.195539381
2006,TAYLOR,WV,7106.80999887
2006,TUCKER,WV,1523.400898316
2006,TYLER,WV,2603.286235816
2006,UPSHUR,WV,13208.655477429
2006,WAYNE,WV,75988.32375175
2006,WEBSTER,WV,4025.0545568079997
2006,WETZEL,WV,9318.441093484
2006,WIRT,WV,452.85925780599996
2006,WOOD,WV,74856.71782959715
2006,WYOMING,WV,28847.10721190415
2007,BARBOUR,WV,8657.164532529
2007,BERKELEY,WV,158493.5231502777
2007,BOONE,WV,27439.745451603
2007,BRAXTON,WV,12933.540568057
2007,BROOKE,WV,26626.3573502985
2007,CABELL,WV,311090.1792775487
2007,CALHOUN,WV,1894.010988595
2007,CLAY,WV,3173.838084171
2007,DODDRIDGE,WV,1609.560717713
2007,FAYETTE,WV,27784.421403050448
2007,GILMER,WV,4184.7056086745
2007,GRANT,WV,8824.967273105
2007,GREENBRIER,WV,54375.63642676725
2007,HAMPSHIRE,WV,13002.274108702799
2007,HANCOCK,WV,82030.667904679
2007,HARDY,WV,7207.090760086
2007,HARRISON,WV,102039.5916018895
2007,JACKSON,WV,18652.4555323995
2007,JEFFERSON,WV,45114.7734271711
2007,KANAWHA,WV,295828.72677690175
2007,LEWIS,WV,12434.4193411244
2007,LINCOLN,WV,7613.3835731185
2007,LOGAN,WV,67677.3776482635
2007,MARION,WV,33537.103271582
2007,MARSHALL,WV,34408.019297164996
2007,MASON,WV,25237.81528842
2007,MCDOWELL,WV,36893.310190258
2007,MERCER,WV,56890.27399471945
2007,MINERAL,WV,19248.555997841
2007,MINGO,WV,122731.549710202
2007,MONONGALIA,WV,4838030.989333192
2007,MONROE,WV,8171.382282077
2007,MORGAN,WV,12005.808646303
2007,NICHOLAS,WV,32828.804664327
2007,OHIO,WV,3385217.9078028626
2007,PENDLETON,WV,3844.9383855369997
2007,PLEASANTS,WV,4334.094575704
2007,POCAHONTAS,WV,11338.8578837595
2007,PRESTON,WV,11932.339177452
2007,PUTNAM,WV,33861.34078469925
2007,RALEIGH,WV,192659.6678208195
2007,RANDOLPH,WV,24494.6037237395
2007,RITCHIE,WV,3363.45614437
2007,ROANE,WV,16967.259589561
2007,SUMMERS,WV,6906.235324878
2007,TAYLOR,WV,7963.04565036
2007,TUCKER,WV,1597.376877987
2007,TYLER,WV,2781.2777590299997
2007,UPSHUR,WV,13086.059394237
2007,WAYNE,WV,76515.17068919525
2007,WEBSTER,WV,4486.895212658
2007,WETZEL,WV,10716.381903132
2007,WIRT,WV,762.859527513
2007,WOOD,WV,79163.46695964185
2007,WYOMING,WV,30628.2166925535
2008,BARBOUR,WV,10103.875132508
2008,BERKELEY,WV,177013.96003615524
2008,BOONE,WV,37864.473455919
2008,BRAXTON,WV,12890.263936412
2008,BROOKE,WV,30517.863887391
2008,CABELL,WV,289307.7164659005
2008,CALHOUN,WV,2123.1101437185
2008,CLAY,WV,3615.034690801
2008,DODDRIDGE,WV,1968.7602887169999
2008,FAYETTE,WV,32012.069944552
2008,GILMER,WV,3216.0544288675
2008,GRANT,WV,18248.02769100525
2008,GREENBRIER,WV,66301.436168082
2008,HAMPSHIRE,WV,14527.13778293275
2008,HANCOCK,WV,94475.948187201
2008,HARDY,WV,10750.4571684545
2008,HARRISON,WV,118518.53797037526
2008,JACKSON,WV,27330.312972085
2008,JEFFERSON,WV,52304.35108108075
2008,KANAWHA,WV,327882.710803841
2008,LEWIS,WV,13996.795540415
2008,LINCOLN,WV,11241.764070143
2008,LOGAN,WV,82136.62579891049
2008,MARION,WV,39603.0705656335
2008,MARSHALL,WV,39705.202701409
2008,MASON,WV,30881.4582455395
2008,MCDOWELL,WV,48329.376318582
2008,MERCER,WV,67789.5005018495
2008,MINERAL,WV,22649.35408770675
2008,MINGO,WV,144472.32004283526
2008,MONONGALIA,WV,5046782.273209603
2008,MONROE,WV,7256.2883696339995
2008,MORGAN,WV,14576.9767494095
2008,NICHOLAS,WV,35549.730668646
2008,OHIO,WV,4891875.543264145
2008,PENDLETON,WV,4680.76288055
2008,PLEASANTS,WV,5160.7580876024995
2008,POCAHONTAS,WV,7866.3612145535
2008,PRESTON,WV,11842.581040969999
2008,PUTNAM,WV,40968.5306345395
2008,RALEIGH,WV,210472.46253356652
2008,RANDOLPH,WV,25865.285931853497
2008,RITCHIE,WV,3404.164737442
2008,ROANE,WV,18811.455989424
2008,SUMMERS,WV,7566.4535592695
2008,TAYLOR,WV,7872.91634783
2008,TUCKER,WV,1386.2625614785
2008,TYLER,WV,2881.446641144
2008,UPSHUR,WV,12628.1300771235
2008,WAYNE,WV,83064.841251572
2008,WEBSTER,WV,5046.574842725
2008,WETZEL,WV,11274.5035655845
2008,WIRT,WV,685.2649217009999
2008,WOOD,WV,81094.9975668745
2008,WYOMING,WV,35882.0351867145
2009,BARBOUR,WV,12080.983404667
2009,BERKELEY,WV,213265.53483134598
2009,BOONE,WV,42407.032680038
2009,BRAXTON,WV,13105.334860304
2009,BROOKE,WV,41039.276310978
2009,CABELL,WV,319102.663500792
2009,CALHOUN,WV,2096.470089138
2009,CLAY,WV,4100.065960397
2009,DODDRIDGE,WV,2605.370902261
2009,FAYETTE,WV,35273.70565486125
2009,GILMER,WV,3862.67539218
2009,GRANT,WV,13057.988772247
2009,GREENBRIER,WV,77277.8525935862
2009,HAMPSHIRE,WV,17009.768792748
2009,HANCOCK,WV,107423.75454062149
2009,HARDY,WV,15665.871678294
2009,HARRISON,WV,129279.42800931726
2009,JACKSON,WV,31390.025923545
2009,JEFFERSON,WV,51186.902493502996
2009,KANAWHA,WV,348980.36014428036
2009,LEWIS,WV,15014.54213969
2009,LINCOLN,WV,17020.862523883
2009,LOGAN,WV,99678.135047587
2009,MARION,WV,48657.2578540145
2009,MARSHALL,WV,52052.3700569165
2009,MASON,WV,32732.414837163
2009,MCDOWELL,WV,49697.059016054496
2009,MERCER,WV,81398.6602653415
2009,MINERAL,WV,23856.6261202585
2009,MINGO,WV,143744.5668454685
2009,MONONGALIA,WV,5405536.201284859
2009,MONROE,WV,5898.272095452
2009,MORGAN,WV,16912.826410518
2009,NICHOLAS,WV,44176.048940213
2009,OHIO,WV,3541895.457761238
2009,PENDLETON,WV,5104.965679321
2009,PLEASANTS,WV,4679.0114019425
2009,POCAHONTAS,WV,9708.5441278285
2009,PRESTON,WV,13087.783723495
2009,PUTNAM,WV,47349.6644378445
2009,RALEIGH,WV,233956.43712811326
2009,RANDOLPH,WV,32291.118383647998
2009,RITCHIE,WV,3659.269215672
2009,ROANE,WV,16666.455117398
2009,SUMMERS,WV,9289.623502787
2009,TAYLOR,WV,10012.0454861385
2009,TUCKER,WV,1505.218223854
2009,TYLER,WV,4571.053223241
2009,UPSHUR,WV,13965.135014464999
2009,WAYNE,WV,71000.3732563395
2009,WEBSTER,WV,6323.402576042
2009,WETZEL,WV,12102.938908273
2009,WIRT,WV,818.197841993
2009,WOOD,WV,90129.377663547
2009,WYOMING,WV,45625.838740145
