year,BUYER_COUNTY,BUYER_STATE,strength
2006,ALBANY,WY,13090.11335976825
2006,BIG HORN,WY,7143.2319947959995
2006,CAMPBELL,WY,21455.12851815
2006,CARBON,WY,7552.6167300669995
2006,CONVERSE,WY,5931.148899506
2006,CROOK,WY,452.1561458955
2006,FREMONT,WY,15084.23479736375
2006,GOSHEN,WY,7867.161547328999
2006,HOT SPRINGS,WY,3120.2060709625
2006,JOHNSON,WY,2349.5544069635
2006,LARAMIE,WY,59314.88362869
2006,LINCOLN,WY,9437.3092751385
2006,NATRONA,WY,47829.756636423
2006,NIOBRARA,WY,943.257391249
2006,PARK,WY,28226670359.064346
2006,PLATTE,WY,4653.9484351354995
2006,SHERIDAN,WY,33078.504692235496
2006,SUBLETTE,WY,1924.334517257
2006,SWEETWATER,WY,22201.001026107748
2006,TETON,WY,9137.1994174105
2006,UINTA,WY,13923.798164258
2006,WASHAKIE,WY,4360.537378547
2006,WESTON,WY,4688.01373556
2007,ALBANY,WY,13342.9028722875
2007,BIG HORN,WY,9599.830737109
2007,CAMPBELL,WY,24753.406087893498
2007,CARBON,WY,6849.3387358976
2007,CONVERSE,WY,6811.350190719
2007,CROOK,WY,584.2070536054999
2007,FREMONT,WY,15616.150541789999
2007,GOSHEN,WY,7343.0855302
2007,HOT SPRINGS,WY,4352.625273637
2007,JOHNSON,WY,3010.303633294
2007,LARAMIE,WY,65202.0342978805
2007,LINCOLN,WY,10821.7751599185
2007,NATRONA,WY,55893.3050465914
2007,NIOBRARA,WY,900.6307385675
2007,PARK,WY,79440.50691367986
2007,PLATTE,WY,4653.437914091
2007,SHERIDAN,WY,34068.547033771996
2007,SUBLETTE,WY,2430.037649073
2007,SWEETWATER,WY,22785.40977275025
2007,TETON,WY,8890.572578672
2007,UINTA,WY,15449.7788909545
2007,WASHAKIE,WY,4589.244346804
2007,WESTON,WY,4201.825403315
2008,ALBANY,WY,13820.084074601
2008,BIG HORN,WY,11784.29556446565
2008,CAMPBELL,WY,27614.8456356685
2008,CARBON,WY,6061.00973790225
2008,CONVERSE,WY,6890.8115438165
2008,CROOK,WY,934.04403713
2008,FREMONT,WY,19923.214961481248
2008,GOSHEN,WY,7496.606425873
2008,HOT SPRINGS,WY,4278.3927532815
2008,JOHNSON,WY,3501.252652847
2008,LARAMIE,WY,72736.055203324
2008,LINCOLN,WY,10875.5542137005
2008,NATRONA,WY,62475.52926653825
2008,NIOBRARA,WY,1414.0939188485
2008,PARK,WY,193536.13525041984
2008,PLATTE,WY,4673.042366976
2008,SHERIDAN,WY,37716.278445653
2008,SUBLETTE,WY,3313.066875524
2008,SWEETWATER,WY,26092.4943048215
2008,TETON,WY,8842.9798222485
2008,UINTA,WY,17300.112725222498
2008,WASHAKIE,WY,5737.4150169039995
2008,WESTON,WY,4717.055314194
2009,ALBANY,WY,14563.785607505999
2009,BIG HORN,WY,12110.627016463
2009,CAMPBELL,WY,30676.0527351085
2009,CARBON,WY,5575.10033555075
2009,CONVERSE,WY,7159.2500647905
2009,CROOK,WY,1140.8923223225
2009,FREMONT,WY,22598.80124242
2009,GOSHEN,WY,8043.155421679
2009,HOT SPRINGS,WY,4620.867830093
2009,JOHNSON,WY,3881.271543603
2009,LARAMIE,WY,77473.93621702224
2009,LINCOLN,WY,10804.531123249999
2009,NATRONA,WY,67617.07343770374
2009,NIOBRARA,WY,1344.4260329659999
2009,PARK,WY,1445723.3162408539
2009,PLATTE,WY,5151.411415116
2009,SHERIDAN,WY,40101.717306929
2009,SUBLETTE,WY,4212.82674485
2009,SWEETWATER,WY,28604.0249064635
2009,TETON,WY,7981.4450693025
2009,UINTA,WY,18189.116759693
2009,WASHAKIE,WY,6429.2584063305
2009,WESTON,WY,4615.680462892
2010,ALBANY,WY,14282.913425895
2010,BIG HORN,WY,11069.2930145425
2010,CAMPBELL,WY,31574.3797505525
2010,CARBON,WY,5999.886235442
2010,CONVERSE,WY,7603.1529142245
2010,CROOK,WY,1451.244519395
2010,FREMONT,WY,23265.6157176385
2010,GOSHEN,WY,7948.574946647
2010,HOT SPRINGS,WY,4859.344962295
2010,JOHNSON,WY,4319.409708540999
2010,LARAMIE,WY,82888.17598897399
2010,LINCOLN,WY,10010.26815098
2010,NATRONA,WY,70812.5430400515
2010,NIOBRARA,WY,1488.529435334
2010,PARK,WY,1855606.515197623
2010,PLATTE,WY,5444.4502617564995
2010,SHERIDAN,WY,41208.2102323325
2010,SUBLETTE,WY,3905.4992831065
2010,SWEETWATER,WY,28756.7102278945
2010,TETON,WY,8993.211702816
2010,UINTA,WY,18902.124419212
2010,WASHAKIE,WY,8664.866545732999
2010,WESTON,WY,4114.290278116
2011,ALBANY,WY,22813.716962619
2011,BIG HORN,WY,11007.15037883
2011,CAMPBELL,WY,32080.2017043805
2011,CARBON,WY,6940.243883519
2011,CONVERSE,WY,8666.470635376
2011,CROOK,WY,1136.13892994
2011,FREMONT,WY,24664.5120587675
2011,GOSHEN,WY,6310.7832730049995
2011,HOT SPRINGS,WY,5062.600268069
2011,JOHNSON,WY,4825.245638146
2011,LARAMIE,WY,90284.46285079124
2011,LINCOLN,WY,9757.018113946
2011,NATRONA,WY,76350.37226758299
2011,NIOBRARA,WY,1286.86852337
2011,PARK,WY,1581466.9079361162
2011,PLATTE,WY,6623.4019761545
2011,SHERIDAN,WY,39914.157468297
2011,SUBLETTE,WY,3570.9994722799997
2011,SWEETWATER,WY,35700.0698573275
2011,TETON,WY,8951.6246703955
2011,UINTA,WY,19112.53544311
2011,WASHAKIE,WY,9623.786586743
2011,WESTON,WY,4713.215147082
2012,ALBANY,WY,26817.7757836845
2012,BIG HORN,WY,12858.791468386
2012,CAMPBELL,WY,29990.6248597965
2012,CARBON,WY,7565.13219077925
2012,CONVERSE,WY,9767.9872938035
2012,CROOK,WY,826.538351
2012,FREMONT,WY,27255.986165984
2012,GOSHEN,WY,7619.076604755
2012,HOT SPRINGS,WY,5020.3581607715
2012,JOHNSON,WY,5599.3103386309995
2012,LARAMIE,WY,100274.27937021025
2012,LINCOLN,WY,10477.2254436835
2012,NATRONA,WY,88107.4375253505
2012,NIOBRARA,WY,1228.257867651
2012,PARK,WY,2303902.1854875246
2012,PLATTE,WY,6555.413342691
2012,SHERIDAN,WY,39356.0142699905
2012,SUBLETTE,WY,3300.481721775
2012,SWEETWATER,WY,50843.126937368
2012,TETON,WY,10392.304554915
2012,UINTA,WY,22578.221191038498
2012,WASHAKIE,WY,10854.666559666
2012,WESTON,WY,5235.793722476999
2013,ALBANY,WY,28638.17286223475
2013,BIG HORN,WY,13066.537008551999
2013,CAMPBELL,WY,29696.885495748
2013,CARBON,WY,8562.866216795499
2013,CONVERSE,WY,9002.505660638999
2013,CROOK,WY,826.2235768595
2013,FREMONT,WY,30080.820866387498
2013,GOSHEN,WY,7627.4075634905
2013,HOT SPRINGS,WY,5607.6365979385
2013,JOHNSON,WY,5298.8360475829995
2013,LARAMIE,WY,97064.75412155525
2013,LINCOLN,WY,13801.33928022
2013,NATRONA,WY,97973.8833110085
2013,NIOBRARA,WY,1145.94475954
2013,PARK,WY,2011530.4141394391
2013,PLATTE,WY,5931.1903436145
2013,SHERIDAN,WY,35355.5703719035
2013,SUBLETTE,WY,4115.896245432
2013,SWEETWATER,WY,54287.966048584996
2013,TETON,WY,10053.912746153
2013,UINTA,WY,23369.741337614
2013,WASHAKIE,WY,12549.9609856975
2013,WESTON,WY,4471.6597995605
2014,ALBANY,WY,36691.8301034245
2014,BIG HORN,WY,13683.927104121
2014,CAMPBELL,WY,30323.41665239
2014,CARBON,WY,9131.939556801
2014,CONVERSE,WY,9230.709198049999
2014,CROOK,WY,906.49276082
2014,FREMONT,WY,36165.7979781195
2014,GOSHEN,WY,7145.7441343
2014,HOT SPRINGS,WY,5167.2117087495
2014,JOHNSON,WY,5057.77036048
2014,LARAMIE,WY,94321.98047089949
2014,LINCOLN,WY,15293.7717411445
2014,NATRONA,WY,100898.617952391
2014,NIOBRARA,WY,1076.4231786349999
2014,PARK,WY,1717243.3049055797
2014,PLATTE,WY,5694.9733424705
2014,SHERIDAN,WY,38133.900548118996
2014,SUBLETTE,WY,4448.2306191299995
2014,SWEETWATER,WY,57129.11276723
2014,TETON,WY,12447.2178207715
2014,UINTA,WY,25225.25700757
2014,WASHAKIE,WY,13964.188003862999
2014,WESTON,WY,3963.220313671
2015,ALBANY,WY,34144.183137027
2015,BIG HORN,WY,14167.387443210999
2015,CAMPBELL,WY,31500.336971667497
2015,CARBON,WY,11559.969327427649
2015,CONVERSE,WY,9412.75050407
2015,CROOK,WY,1042.55538317
2015,FREMONT,WY,38021.959367330994
2015,GOSHEN,WY,6863.968739008998
2015,HOT SPRINGS,WY,6020.3462986409995
2015,JOHNSON,WY,5468.0426922709985
2015,LARAMIE,WY,95339.93405862959
2015,LINCOLN,WY,15489.4831617355
2015,NATRONA,WY,101748.11060612799
2015,NIOBRARA,WY,950.5534484909996
2015,PARK,WY,600810.4163570908
2015,PLATTE,WY,5774.943745191
2015,SHERIDAN,WY,38160.99938292785
2015,SUBLETTE,WY,4388.23240585
2015,SWEETWATER,WY,52522.158705707494
2015,TETON,WY,12507.945112747999
2015,UINTA,WY,25876.202050334497
2015,WASHAKIE,WY,14552.755076503
2015,WESTON,WY,4382.438190469
2016,ALBANY,WY,40882.9804579205
2016,BIG HORN,WY,13295.309595331999
2016,CAMPBELL,WY,25343.4882278405
2016,CARBON,WY,10505.897321682
2016,CONVERSE,WY,9723.88920745
2016,CROOK,WY,835.1040513499998
2016,FREMONT,WY,35881.49607465
2016,GOSHEN,WY,6184.159837406999
2016,HOT SPRINGS,WY,6922.647805549999
2016,JOHNSON,WY,5441.757700045999
2016,LARAMIE,WY,88619.1763162765
2016,LINCOLN,WY,15373.511902572
2016,NATRONA,WY,99788.86288231099
2016,NIOBRARA,WY,934.9899152409998
2016,PARK,WY,1095943.0398908325
2016,PLATTE,WY,5541.897163625
2016,SHERIDAN,WY,33005.575495302
2016,SUBLETTE,WY,4069.1053496179993
2016,SWEETWATER,WY,55346.74546609799
2016,TETON,WY,12151.569382348998
2016,UINTA,WY,26277.417077801998
2016,WASHAKIE,WY,12145.269629008997
2016,WESTON,WY,3472.986148311
2017,ALBANY,WY,66084.78661504699
2017,BIG HORN,WY,11662.343166663999
2017,CAMPBELL,WY,23905.788909159997
2017,CARBON,WY,7000.716589850999
2017,CONVERSE,WY,9346.175169728
2017,CROOK,WY,715.6129272
2017,FREMONT,WY,33813.73254882
2017,GOSHEN,WY,5228.837424279999
2017,HOT SPRINGS,WY,4926.761370964999
2017,JOHNSON,WY,4901.0037545509995
2017,LARAMIE,WY,77089.3023577553
2017,LINCOLN,WY,11589.481477201
2017,NATRONA,WY,99043.92641626249
2017,NIOBRARA,WY,795.3497050399999
2017,PARK,WY,637730.076775088
2017,PLATTE,WY,5808.437269845999
2017,SHERIDAN,WY,27535.021000016997
2017,SUBLETTE,WY,4054.5751352249995
2017,SWEETWATER,WY,62616.868376348495
2017,TETON,WY,11236.651432847999
2017,UINTA,WY,24522.9034433475
2017,WASHAKIE,WY,10761.961546764998
2017,WESTON,WY,3278.1472712719997
2018,ALBANY,WY,86451.050422864
2018,BIG HORN,WY,9968.545658857998
2018,CAMPBELL,WY,21826.320244586997
2018,CARBON,WY,6046.111378052
2018,CONVERSE,WY,8702.229110353499
2018,CROOK,WY,671.096507632
2018,FREMONT,WY,31430.409183628
2018,GOSHEN,WY,4638.827578244
2018,HOT SPRINGS,WY,4017.6327692269992
2018,JOHNSON,WY,4372.685974665
2018,LARAMIE,WY,64003.88788191749
2018,LINCOLN,WY,11653.362302471
2018,NATRONA,WY,100631.67568048449
2018,NIOBRARA,WY,822.1187586
2018,PARK,WY,450459.25988428603
2018,PLATTE,WY,6384.997830053999
2018,SHERIDAN,WY,23579.330755081
2018,SUBLETTE,WY,4142.49967683
2018,SWEETWATER,WY,60688.62244743999
2018,TETON,WY,8704.4334269005
2018,UINTA,WY,24734.782906225
2018,WASHAKIE,WY,9525.084312386
2018,WESTON,WY,2878.01462762
2019,ALBANY,WY,44072.428119109
2019,BIG HORN,WY,10606.079733317
2019,CAMPBELL,WY,22653.82537526
2019,CARBON,WY,6274.8565173834995
2019,CONVERSE,WY,9262.939361719
2019,CROOK,WY,462.8051723
2019,FREMONT,WY,32517.099268125996
2019,GOSHEN,WY,4391.403755636999
2019,HOT SPRINGS,WY,4747.9894438129995
2019,JOHNSON,WY,4000.7885060169997
2019,LARAMIE,WY,56800.3303975685
2019,LINCOLN,WY,10511.957661055
2019,NATRONA,WY,98479.7048940845
2019,NIOBRARA,WY,731.8798677999999
2019,PARK,WY,503694.7286489425
2019,PLATTE,WY,5556.402819491999
2019,SHERIDAN,WY,23923.333517823998
2019,SUBLETTE,WY,3920.9964350249998
2019,SWEETWATER,WY,57242.641330022496
2019,TETON,WY,7597.446832823499
2019,UINTA,WY,81024.087822552
2019,WASHAKIE,WY,8721.963585698999
2019,WESTON,WY,2359.508430007
