year,BUYER_COUNTY,BUYER_STATE,strength
2006,ALEUTIANS EAST,AK,0.9081
2006,ALEUTIANS WEST,AK,183.313595
2006,ANCHORAGE,AK,522547.2781196476
2006,BETHEL,AK,2816.7290513415
2006,DENALI,AK,11.80245
2006,DILLINGHAM,AK,1984.892392466
2006,FAIRBANKS NORTH STAR,AK,65860.415756314
2006,HAINES,AK,1215.334301475
2006,HOONAH ANGOON,AK,8.975715
2006,JUNEAU,AK,16882.237352768
2006,KENAI PENINSULA,AK,54138.143453325
2006,KETCHIKAN GATEWAY,AK,18204.751531429
2006,KODIAK ISLAND,AK,3993.866341509
2006,MATANUSKA SUSITNA,AK,93146.858483409
2006,NOME,AK,1978.671909367
2006,NORTH SLOPE,AK,896.627398562
2006,NORTHWEST ARCTIC,AK,1299.05737829
2006,PETERSBURG,AK,3350.13512066
2006,PRINCE OF WALES HYDER,AK,2167.066807337
2006,SITKA,AK,8150.973506531
2006,SKAGWAY,AK,11.68598148
2006,SOUTHEAST FAIRBANKS,AK,1344.985891334
2006,VALDEZ CORDOVA,AK,3922.747475473
2006,WRANGELL,AK,495.7447639
2006,YAKUTAT,AK,0.2205345
2006,YUKON KOYUKUK,AK,0.5223637
2007,ALEUTIANS EAST,AK,0.3027
2007,ALEUTIANS WEST,AK,272.28746515
2007,ANCHORAGE,AK,540906.0488409676
2007,BETHEL,AK,2723.96355834335
2007,DENALI,AK,20.17263
2007,DILLINGHAM,AK,1858.3703340425
2007,FAIRBANKS NORTH STAR,AK,67417.23670442699
2007,HAINES,AK,1701.448522597
2007,HOONAH ANGOON,AK,7.51893
2007,JUNEAU,AK,21108.913486702
2007,KENAI PENINSULA,AK,62333.818932081
2007,KETCHIKAN GATEWAY,AK,18150.573698853
2007,KODIAK ISLAND,AK,4489.8142782615
2007,MATANUSKA SUSITNA,AK,101410.3580502426
2007,NOME,AK,2010.95127650865
2007,NORTH SLOPE,AK,1139.00396429
2007,NORTHWEST ARCTIC,AK,2196.526662031
2007,PETERSBURG,AK,3554.99062229
2007,PRINCE OF WALES HYDER,AK,2516.729747404
2007,SITKA,AK,8411.596054055999
2007,SKAGWAY,AK,12.087631
2007,SOUTHEAST FAIRBANKS,AK,1562.5282046
2007,VALDEZ CORDOVA,AK,4738.804713895
2007,WRANGELL,AK,542.06899995
2007,YAKUTAT,AK,0.268932
2008,ALEUTIANS WEST,AK,226.0605945
2008,ANCHORAGE,AK,528352.5921773158
2008,BETHEL,AK,2486.11686670525
2008,DENALI,AK,0.920676034
2008,DILLINGHAM,AK,2188.385644648
2008,FAIRBANKS NORTH STAR,AK,72288.602204922
2008,HAINES,AK,1425.481054212
2008,HOONAH ANGOON,AK,2.4958050000000003
2008,JUNEAU,AK,23750.181808548
2008,KENAI PENINSULA,AK,68585.4507576805
2008,KETCHIKAN GATEWAY,AK,20765.187342308494
2008,KODIAK ISLAND,AK,4974.336722205
2008,MATANUSKA SUSITNA,AK,87006.20883935649
2008,NOME,AK,3179.87279169435
2008,NORTH SLOPE,AK,1674.294881905
2008,NORTHWEST ARCTIC,AK,2538.823656653
2008,PETERSBURG,AK,4182.704327455
2008,PRINCE OF WALES HYDER,AK,2503.349057057
2008,SITKA,AK,12056.254481352
2008,SKAGWAY,AK,12.106756
2008,SOUTHEAST FAIRBANKS,AK,1566.785833163
2008,VALDEZ CORDOVA,AK,5410.0975587175
2008,WRANGELL,AK,718.688696435
2008,YAKUTAT,AK,3.31191374505
2009,ALEUTIANS WEST,AK,202.6077
2009,ANCHORAGE,AK,560686.4000861645
2009,BETHEL,AK,1943.616156443
2009,DENALI,AK,4.21766
2009,DILLINGHAM,AK,2934.510155491
2009,FAIRBANKS NORTH STAR,AK,73746.645158032
2009,HAINES,AK,1359.4039325
2009,JUNEAU,AK,28308.2642665455
2009,KENAI PENINSULA,AK,77122.98014375349
2009,KETCHIKAN GATEWAY,AK,24257.363613392
2009,KODIAK ISLAND,AK,6207.765892515999
2009,MATANUSKA SUSITNA,AK,90628.0675663015
2009,NOME,AK,2506.447095371
2009,NORTH SLOPE,AK,1811.565441363
2009,NORTHWEST ARCTIC,AK,1448.91813265
2009,PETERSBURG,AK,4487.19416757
2009,PRINCE OF WALES HYDER,AK,1920.838921158
2009,SITKA,AK,12923.116522765
2009,SKAGWAY,AK,13.40101
2009,SOUTHEAST FAIRBANKS,AK,1314.19217453
2009,VALDEZ CORDOVA,AK,5799.3145248175
2009,WRANGELL,AK,605.718770935
2009,YAKUTAT,AK,6.2875425
2010,ALEUTIANS WEST,AK,139.749
2010,ANCHORAGE,AK,585026.7098329705
2010,BETHEL,AK,3175.261998403
2010,DENALI,AK,3.78375
2010,DILLINGHAM,AK,2889.968471181
2010,FAIRBANKS NORTH STAR,AK,77683.3419615857
2010,HAINES,AK,1494.351956138
2010,HOONAH ANGOON,AK,0.11504
2010,JUNEAU,AK,31944.2541589625
2010,KENAI PENINSULA,AK,84659.902561708
2010,KETCHIKAN GATEWAY,AK,23808.333962678
2010,KODIAK ISLAND,AK,8042.922519369999
2010,MATANUSKA SUSITNA,AK,104245.273150907
2010,NOME,AK,3069.449595024
2010,NORTH SLOPE,AK,2095.783066143
2010,NORTHWEST ARCTIC,AK,1893.456051304
2010,PETERSBURG,AK,5027.02542495
2010,PRINCE OF WALES HYDER,AK,2402.728535695
2010,SITKA,AK,10946.847019445
2010,SKAGWAY,AK,24.368207
2010,SOUTHEAST FAIRBANKS,AK,1640.9731818
2010,VALDEZ CORDOVA,AK,6701.8006551285
2010,WRANGELL,AK,1075.50701132
2010,YAKUTAT,AK,7.4055725
2010,YUKON KOYUKUK,AK,0.0752
2011,ALEUTIANS EAST,AK,0.03008
2011,ALEUTIANS WEST,AK,99.123338
2011,ANCHORAGE,AK,626936.0876343425
2011,BETHEL,AK,2698.538950951
2011,DENALI,AK,0.22016
2011,DILLINGHAM,AK,2921.159905515
2011,FAIRBANKS NORTH STAR,AK,87354.1223589315
2011,HAINES,AK,1141.821335
2011,JUNEAU,AK,33796.9308817275
2011,KENAI PENINSULA,AK,83020.8758567935
2011,KETCHIKAN GATEWAY,AK,24848.463173683
2011,KODIAK ISLAND,AK,7903.070617351999
2011,MATANUSKA SUSITNA,AK,119967.526166977
2011,NOME,AK,3346.82464894
2011,NORTH SLOPE,AK,2641.484217017
2011,NORTHWEST ARCTIC,AK,2087.51619812
2011,PETERSBURG,AK,4509.2514965
2011,PRINCE OF WALES HYDER,AK,2149.512163923
2011,SITKA,AK,9727.103420213
2011,SKAGWAY,AK,21.310841
2011,SOUTHEAST FAIRBANKS,AK,2833.2821747
2011,VALDEZ CORDOVA,AK,7109.321906333
2011,WADE HAMPTON,AK,0.036324
2011,WRANGELL,AK,1564.8252884625
2011,YAKUTAT,AK,6.878675
2012,ALEUTIANS EAST,AK,0.01504
2012,ALEUTIANS WEST,AK,63.29414
2012,ANCHORAGE,AK,564062.5524441346
2012,BETHEL,AK,2274.818139178
2012,DENALI,AK,5.735061035
2012,DILLINGHAM,AK,2790.400590475
2012,FAIRBANKS NORTH STAR,AK,86483.300183267
2012,HAINES,AK,839.07017
2012,HOONAH ANGOON,AK,0.1
2012,JUNEAU,AK,35163.758144241496
2012,KENAI PENINSULA,AK,79994.3207052385
2012,KETCHIKAN GATEWAY,AK,25510.384712546
